date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Down,Aroon Up
2018-01-02,5.0,100.0,5.0,100.0,5.0,100.0,100.0,5.0
2018-01-03,0.0,95.0,0.0,95.0,0.0,95.0,95.0,0.0
2018-01-04,0.0,90.0,0.0,90.0,0.0,90.0,90.0,0.0
2018-01-05,0.0,85.0,0.0,85.0,0.0,85.0,85.0,0.0
2018-01-08,0.0,80.0,0.0,80.0,0.0,80.0,80.0,0.0
2018-01-09,10.0,75.0,10.0,75.0,10.0,75.0,75.0,10.0
2018-01-10,5.0,70.0,5.0,70.0,5.0,70.0,70.0,5.0
2018-01-11,0.0,65.0,0.0,65.0,0.0,65.0,65.0,0.0
2018-01-12,0.0,60.0,0.0,60.0,0.0,60.0,60.0,0.0
2018-01-16,10.0,55.0,10.0,55.0,10.0,55.0,55.0,10.0
2018-01-17,5.0,50.0,5.0,50.0,5.0,50.0,50.0,5.0
2018-01-18,0.0,45.0,0.0,45.0,0.0,45.0,45.0,0.0
2018-01-19,0.0,40.0,0.0,40.0,0.0,40.0,40.0,0.0
2018-01-22,100.0,35.0,100.0,35.0,100.0,35.0,35.0,100.0
2018-01-23,100.0,30.0,100.0,30.0,100.0,30.0,30.0,100.0
2018-01-24,100.0,25.0,100.0,25.0,100.0,25.0,25.0,100.0
2018-01-25,95.0,20.0,95.0,20.0,95.0,20.0,20.0,95.0
2018-01-26,100.0,15.0,100.0,15.0,100.0,15.0,15.0,100.0
2018-01-29,95.0,10.0,95.0,10.0,95.0,10.0,10.0,95.0
2018-01-30,90.0,5.0,90.0,5.0,90.0,5.0,5.0,90.0
2018-01-31,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0
2018-02-01,95.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0
2018-02-02,90.0,10.0,90.0,10.0,90.0,10.0,10.0,90.0
2018-02-05,85.0,5.0,85.0,5.0,85.0,5.0,5.0,85.0
2018-02-06,80.0,100.0,80.0,100.0,80.0,100.0,100.0,80.0
2018-02-07,75.0,95.0,75.0,95.0,75.0,95.0,95.0,75.0
2018-02-08,70.0,100.0,70.0,100.0,70.0,100.0,100.0,70.0
2018-02-09,65.0,100.0,65.0,100.0,65.0,100.0,100.0,65.0
2018-02-12,60.0,95.0,60.0,95.0,60.0,95.0,95.0,60.0
2018-02-13,55.0,90.0,55.0,90.0,55.0,90.0,90.0,55.0
