date,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,100.0,21.6667,21.6667,100.0,100.0,21.6667,21.6667,100.0
2018-01-03,98.3333,20.0,20.0,98.3333,98.3333,20.0,20.0,98.3333
2018-01-04,96.6667,18.3333,18.3333,96.6667,96.6667,18.3333,18.3333,96.6667
2018-01-05,95.0,16.6667,16.6667,95.0,95.0,16.6667,16.6667,95.0
2018-01-08,93.3333,15.0,15.0,93.3333,93.3333,15.0,15.0,93.3333
2018-01-09,91.6667,13.3333,13.3333,91.6667,91.6667,13.3333,13.3333,91.6667
2018-01-10,90.0,11.6667,11.6667,90.0,90.0,11.6667,11.6667,90.0
2018-01-11,88.3333,10.0,10.0,88.3333,88.3333,10.0,10.0,88.3333
2018-01-12,86.6667,8.3333,8.3333,86.6667,86.6667,8.3333,8.3333,86.6667
2018-01-16,85.0,6.6667,6.6667,85.0,85.0,6.6667,6.6667,85.0
2018-01-17,83.3333,5.0,5.0,83.3333,83.3333,5.0,5.0,83.3333
2018-01-18,81.6667,3.3333,3.3333,81.6667,81.6667,3.3333,3.3333,81.6667
2018-01-19,80.0,1.6667,1.6667,80.0,80.0,1.6667,1.6667,80.0
2018-01-22,78.3333,0.0,0.0,78.3333,78.3333,0.0,0.0,78.3333
2018-01-23,76.6667,1.6667,1.6667,76.6667,76.6667,1.6667,1.6667,76.6667
2018-01-24,75.0,0.0,0.0,75.0,75.0,0.0,0.0,75.0
2018-01-25,73.3333,98.3333,98.3333,73.3333,73.3333,98.3333,98.3333,73.3333
2018-01-26,71.6667,100.0,100.0,71.6667,71.6667,100.0,100.0,71.6667
2018-01-29,70.0,98.3333,98.3333,70.0,70.0,98.3333,98.3333,70.0
2018-01-30,68.3333,96.6667,96.6667,68.3333,68.3333,96.6667,96.6667,68.3333
2018-01-31,66.6667,100.0,100.0,66.6667,66.6667,100.0,100.0,66.6667
2018-02-01,65.0,98.3333,98.3333,65.0,65.0,98.3333,98.3333,65.0
2018-02-02,63.3333,96.6667,96.6667,63.3333,63.3333,96.6667,96.6667,63.3333
2018-02-05,61.6667,95.0,95.0,61.6667,61.6667,95.0,95.0,61.6667
2018-02-06,60.0,93.3333,93.3333,60.0,60.0,93.3333,93.3333,60.0
2018-02-07,58.3333,91.6667,91.6667,58.3333,58.3333,91.6667,91.6667,58.3333
2018-02-08,100.0,90.0,90.0,100.0,100.0,90.0,90.0,100.0
2018-02-09,100.0,88.3333,88.3333,100.0,100.0,88.3333,88.3333,100.0
2018-02-12,98.3333,86.6667,86.6667,98.3333,98.3333,86.6667,86.6667,98.3333
2018-02-13,96.6667,85.0,85.0,96.6667,96.6667,85.0,85.0,96.6667
2018-02-14,95.0,83.3333,83.3333,95.0,95.0,83.3333,83.3333,95.0
2018-02-15,93.3333,81.6667,81.6667,93.3333,93.3333,81.6667,81.6667,93.3333
2018-02-16,91.6667,80.0,80.0,91.6667,91.6667,80.0,80.0,91.6667
2018-02-20,90.0,78.3333,78.3333,90.0,90.0,78.3333,78.3333,90.0
2018-02-21,88.3333,76.6667,76.6667,88.3333,88.3333,76.6667,76.6667,88.3333
2018-02-22,86.6667,75.0,75.0,86.6667,86.6667,75.0,75.0,86.6667
2018-02-23,85.0,73.3333,73.3333,85.0,85.0,73.3333,73.3333,85.0
2018-02-26,83.3333,71.6667,71.6667,83.3333,83.3333,71.6667,71.6667,83.3333
2018-02-27,81.6667,70.0,70.0,81.6667,81.6667,70.0,70.0,81.6667
2018-02-28,80.0,68.3333,68.3333,80.0,80.0,68.3333,68.3333,80.0
2018-03-01,100.0,66.6667,66.6667,100.0,100.0,66.6667,66.6667,100.0
2018-03-02,100.0,65.0,65.0,100.0,100.0,65.0,65.0,100.0
2018-03-05,98.3333,63.3333,63.3333,98.3333,98.3333,63.3333,63.3333,98.3333
2018-03-06,96.6667,61.6667,61.6667,96.6667,96.6667,61.6667,61.6667,96.6667
2018-03-07,95.0,60.0,60.0,95.0,95.0,60.0,60.0,95.0
2018-03-08,93.3333,58.3333,58.3333,93.3333,93.3333,58.3333,58.3333,93.3333
2018-03-09,91.6667,56.6667,56.6667,91.6667,91.6667,56.6667,56.6667,91.6667
2018-03-12,90.0,55.0,55.0,90.0,90.0,55.0,55.0,90.0
2018-03-13,88.3333,53.3333,53.3333,88.3333,88.3333,53.3333,53.3333,88.3333
2018-03-14,86.6667,51.6667,51.6667,86.6667,86.6667,51.6667,51.6667,86.6667
2018-03-15,85.0,50.0,50.0,85.0,85.0,50.0,50.0,85.0
2018-03-16,83.3333,48.3333,48.3333,83.3333,83.3333,48.3333,48.3333,83.3333
2018-03-19,81.6667,46.6667,46.6667,81.6667,81.6667,46.6667,46.6667,81.6667
2018-03-20,80.0,45.0,45.0,80.0,80.0,45.0,45.0,80.0
2018-03-21,78.3333,43.3333,43.3333,78.3333,78.3333,43.3333,43.3333,78.3333
2018-03-22,100.0,41.6667,41.6667,100.0,100.0,41.6667,41.6667,100.0
2018-03-23,100.0,40.0,40.0,100.0,100.0,40.0,40.0,100.0
2018-03-26,98.3333,38.3333,38.3333,98.3333,98.3333,38.3333,38.3333,98.3333
2018-03-27,96.6667,36.6667,36.6667,96.6667,96.6667,36.6667,36.6667,96.6667
2018-03-28,95.0,35.0,35.0,95.0,95.0,35.0,35.0,95.0
2018-03-29,93.3333,33.3333,33.3333,93.3333,93.3333,33.3333,33.3333,93.3333
2018-04-02,100.0,31.6667,31.6667,100.0,100.0,31.6667,31.6667,100.0
2018-04-03,98.3333,30.0,30.0,98.3333,98.3333,30.0,30.0,98.3333
2018-04-04,96.6667,28.3333,28.3333,96.6667,96.6667,28.3333,28.3333,96.6667
2018-04-05,95.0,26.6667,26.6667,95.0,95.0,26.6667,26.6667,95.0
2018-04-06,93.3333,25.0,25.0,93.3333,93.3333,25.0,25.0,93.3333
2018-04-09,91.6667,23.3333,23.3333,91.6667,91.6667,23.3333,23.3333,91.6667
2018-04-10,90.0,21.6667,21.6667,90.0,90.0,21.6667,21.6667,90.0
2018-04-11,88.3333,20.0,20.0,88.3333,88.3333,20.0,20.0,88.3333
2018-04-12,86.6667,18.3333,18.3333,86.6667,86.6667,18.3333,18.3333,86.6667
2018-04-13,85.0,16.6667,16.6667,85.0,85.0,16.6667,16.6667,85.0
2018-04-16,83.3333,15.0,15.0,83.3333,83.3333,15.0,15.0,83.3333
2018-04-17,81.6667,13.3333,13.3333,81.6667,81.6667,13.3333,13.3333,81.6667
2018-04-18,80.0,11.6667,11.6667,80.0,80.0,11.6667,11.6667,80.0
2018-04-19,78.3333,10.0,10.0,78.3333,78.3333,10.0,10.0,78.3333
2018-04-20,76.6667,8.3333,8.3333,76.6667,76.6667,8.3333,8.3333,76.6667
2018-04-23,75.0,6.6667,6.6667,75.0,75.0,6.6667,6.6667,75.0
2018-04-24,73.3333,5.0,5.0,73.3333,73.3333,5.0,5.0,73.3333
2018-04-25,71.6667,3.3333,3.3333,71.6667,71.6667,3.3333,3.3333,71.6667
2018-04-26,70.0,1.6667,1.6667,70.0,70.0,1.6667,1.6667,70.0
2018-04-27,68.3333,0.0,0.0,68.3333,68.3333,0.0,0.0,68.3333
2018-04-30,66.6667,0.0,0.0,66.6667,66.6667,0.0,0.0,66.6667
2018-05-01,65.0,0.0,0.0,65.0,65.0,0.0,0.0,65.0
2018-05-02,63.3333,0.0,0.0,63.3333,63.3333,0.0,0.0,63.3333
2018-05-03,100.0,1.6667,1.6667,100.0,100.0,1.6667,1.6667,100.0
2018-05-04,98.3333,0.0,0.0,98.3333,98.3333,0.0,0.0,98.3333
2018-05-07,96.6667,8.3333,8.3333,96.6667,96.6667,8.3333,8.3333,96.6667
2018-05-08,95.0,6.6667,6.6667,95.0,95.0,6.6667,6.6667,95.0
2018-05-09,93.3333,5.0,5.0,93.3333,93.3333,5.0,5.0,93.3333
2018-05-10,91.6667,3.3333,3.3333,91.6667,91.6667,3.3333,3.3333,91.6667
2018-05-11,90.0,1.6667,1.6667,90.0,90.0,1.6667,1.6667,90.0
2018-05-14,88.3333,0.0,0.0,88.3333,88.3333,0.0,0.0,88.3333
2018-05-15,86.6667,0.0,0.0,86.6667,86.6667,0.0,0.0,86.6667
2018-05-16,85.0,0.0,0.0,85.0,85.0,0.0,0.0,85.0
2018-05-17,83.3333,0.0,0.0,83.3333,83.3333,0.0,0.0,83.3333
2018-05-18,81.6667,3.3333,3.3333,81.6667,81.6667,3.3333,3.3333,81.6667
2018-05-21,80.0,1.6667,1.6667,80.0,80.0,1.6667,1.6667,80.0
2018-05-22,78.3333,0.0,0.0,78.3333,78.3333,0.0,0.0,78.3333
2018-05-23,76.6667,0.0,0.0,76.6667,76.6667,0.0,0.0,76.6667
2018-05-24,75.0,0.0,0.0,75.0,75.0,0.0,0.0,75.0
2018-05-25,73.3333,11.6667,11.6667,73.3333,73.3333,11.6667,11.6667,73.3333
2018-05-29,71.6667,10.0,10.0,71.6667,71.6667,10.0,10.0,71.6667
2018-05-30,70.0,8.3333,8.3333,70.0,70.0,8.3333,8.3333,70.0
2018-05-31,68.3333,6.6667,6.6667,68.3333,68.3333,6.6667,6.6667,68.3333
2018-06-01,66.6667,5.0,5.0,66.6667,66.6667,5.0,5.0,66.6667
2018-06-04,65.0,3.3333,3.3333,65.0,65.0,3.3333,3.3333,65.0
2018-06-05,63.3333,1.6667,1.6667,63.3333,63.3333,1.6667,1.6667,63.3333
2018-06-06,61.6667,0.0,0.0,61.6667,61.6667,0.0,0.0,61.6667
2018-06-07,60.0,0.0,0.0,60.0,60.0,0.0,0.0,60.0
2018-06-08,58.3333,0.0,0.0,58.3333,58.3333,0.0,0.0,58.3333
2018-06-11,56.6667,1.6667,1.6667,56.6667,56.6667,1.6667,1.6667,56.6667
2018-06-12,55.0,0.0,0.0,55.0,55.0,0.0,0.0,55.0
2018-06-13,53.3333,1.6667,1.6667,53.3333,53.3333,1.6667,1.6667,53.3333
2018-06-14,51.6667,0.0,0.0,51.6667,51.6667,0.0,0.0,51.6667
2018-06-15,50.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0
2018-06-18,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-06-19,98.3333,36.6667,36.6667,98.3333,98.3333,36.6667,36.6667,98.3333
2018-06-20,100.0,35.0,35.0,100.0,100.0,35.0,35.0,100.0
2018-06-21,100.0,33.3333,33.3333,100.0,100.0,33.3333,33.3333,100.0
2018-06-22,98.3333,31.6667,31.6667,98.3333,98.3333,31.6667,31.6667,98.3333
2018-06-25,100.0,30.0,30.0,100.0,100.0,30.0,30.0,100.0
2018-06-26,98.3333,28.3333,28.3333,98.3333,98.3333,28.3333,28.3333,98.3333
2018-06-27,96.6667,26.6667,26.6667,96.6667,96.6667,26.6667,26.6667,96.6667
2018-06-28,95.0,25.0,25.0,95.0,95.0,25.0,25.0,95.0
2018-06-29,93.3333,23.3333,23.3333,93.3333,93.3333,23.3333,23.3333,93.3333
