date,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up
2018-01-02,22.5,87.5,22.5,87.5,87.5,22.5,22.5,87.5
2018-01-03,20.0,85.0,20.0,85.0,85.0,20.0,20.0,85.0
2018-01-04,17.5,100.0,17.5,100.0,100.0,17.5,17.5,100.0
2018-01-05,15.0,97.5,15.0,97.5,97.5,15.0,15.0,97.5
2018-01-08,12.5,95.0,12.5,95.0,95.0,12.5,12.5,95.0
2018-01-09,10.0,100.0,10.0,100.0,100.0,10.0,10.0,100.0
2018-01-10,7.5,100.0,7.5,100.0,100.0,7.5,7.5,100.0
2018-01-11,5.0,97.5,5.0,97.5,97.5,5.0,5.0,97.5
2018-01-12,2.5,100.0,2.5,100.0,100.0,2.5,2.5,100.0
2018-01-16,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-17,2.5,97.5,2.5,97.5,97.5,2.5,2.5,97.5
2018-01-18,0.0,95.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-01-19,10.0,92.5,10.0,92.5,92.5,10.0,10.0,92.5
2018-01-22,7.5,100.0,7.5,100.0,100.0,7.5,7.5,100.0
2018-01-23,5.0,100.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-01-24,2.5,100.0,2.5,100.0,100.0,2.5,2.5,100.0
2018-01-25,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-26,0.0,97.5,0.0,97.5,97.5,0.0,0.0,97.5
2018-01-29,5.0,100.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-01-30,2.5,97.5,2.5,97.5,97.5,2.5,2.5,97.5
2018-01-31,0.0,95.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-02-01,7.5,100.0,7.5,100.0,100.0,7.5,7.5,100.0
2018-02-02,5.0,100.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-02-05,2.5,97.5,2.5,97.5,97.5,2.5,2.5,97.5
2018-02-06,0.0,95.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-02-07,10.0,92.5,10.0,92.5,92.5,10.0,10.0,92.5
2018-02-08,7.5,90.0,7.5,90.0,90.0,7.5,7.5,90.0
2018-02-09,5.0,87.5,5.0,87.5,87.5,5.0,5.0,87.5
2018-02-12,2.5,85.0,2.5,85.0,85.0,2.5,2.5,85.0
2018-02-13,0.0,82.5,0.0,82.5,82.5,0.0,0.0,82.5
2018-02-14,0.0,80.0,0.0,80.0,80.0,0.0,0.0,80.0
2018-02-15,90.0,77.5,90.0,77.5,77.5,90.0,90.0,77.5
2018-02-16,87.5,75.0,87.5,75.0,75.0,87.5,87.5,75.0
2018-02-20,85.0,72.5,85.0,72.5,72.5,85.0,85.0,72.5
2018-02-21,82.5,70.0,82.5,70.0,70.0,82.5,82.5,70.0
2018-02-22,80.0,67.5,80.0,67.5,67.5,80.0,80.0,67.5
2018-02-23,77.5,65.0,77.5,65.0,65.0,77.5,77.5,65.0
2018-02-26,75.0,62.5,75.0,62.5,62.5,75.0,75.0,62.5
2018-02-27,72.5,100.0,72.5,100.0,100.0,72.5,72.5,100.0
2018-02-28,70.0,97.5,70.0,97.5,97.5,70.0,70.0,97.5
2018-03-01,67.5,95.0,67.5,95.0,95.0,67.5,67.5,95.0
2018-03-02,65.0,92.5,65.0,92.5,92.5,65.0,65.0,92.5
2018-03-05,62.5,90.0,62.5,90.0,90.0,62.5,62.5,90.0
2018-03-06,60.0,87.5,60.0,87.5,87.5,60.0,60.0,87.5
2018-03-07,57.5,85.0,57.5,85.0,85.0,57.5,57.5,85.0
2018-03-08,55.0,82.5,55.0,82.5,82.5,55.0,55.0,82.5
2018-03-09,52.5,80.0,52.5,80.0,80.0,52.5,52.5,80.0
2018-03-12,50.0,100.0,50.0,100.0,100.0,50.0,50.0,100.0
2018-03-13,47.5,97.5,47.5,97.5,97.5,47.5,47.5,97.5
2018-03-14,45.0,95.0,45.0,95.0,95.0,45.0,45.0,95.0
2018-03-15,42.5,92.5,42.5,92.5,92.5,42.5,42.5,92.5
2018-03-16,40.0,90.0,40.0,90.0,90.0,40.0,40.0,90.0
2018-03-19,37.5,87.5,37.5,87.5,87.5,37.5,37.5,87.5
2018-03-20,35.0,85.0,35.0,85.0,85.0,35.0,35.0,85.0
2018-03-21,32.5,82.5,32.5,82.5,82.5,32.5,32.5,82.5
2018-03-22,30.0,80.0,30.0,80.0,80.0,30.0,30.0,80.0
2018-03-23,100.0,77.5,100.0,77.5,77.5,100.0,100.0,77.5
2018-03-26,97.5,75.0,97.5,75.0,75.0,97.5,97.5,75.0
2018-03-27,95.0,72.5,95.0,72.5,72.5,95.0,95.0,72.5
2018-03-28,100.0,70.0,100.0,70.0,70.0,100.0,100.0,70.0
2018-03-29,97.5,67.5,97.5,67.5,67.5,97.5,97.5,67.5
2018-04-02,100.0,65.0,100.0,65.0,65.0,100.0,100.0,65.0
2018-04-03,97.5,62.5,97.5,62.5,62.5,97.5,97.5,62.5
2018-04-04,95.0,60.0,95.0,60.0,60.0,95.0,95.0,60.0
2018-04-05,92.5,57.5,92.5,57.5,57.5,92.5,92.5,57.5
2018-04-06,90.0,55.0,90.0,55.0,55.0,90.0,90.0,55.0
2018-04-09,87.5,52.5,87.5,52.5,52.5,87.5,87.5,52.5
2018-04-10,85.0,50.0,85.0,50.0,50.0,85.0,85.0,50.0
2018-04-11,82.5,47.5,82.5,47.5,47.5,82.5,82.5,47.5
2018-04-12,80.0,45.0,80.0,45.0,45.0,80.0,80.0,45.0
2018-04-13,77.5,42.5,77.5,42.5,42.5,77.5,77.5,42.5
2018-04-16,75.0,40.0,75.0,40.0,40.0,75.0,75.0,40.0
2018-04-17,72.5,37.5,72.5,37.5,37.5,72.5,72.5,37.5
2018-04-18,70.0,35.0,70.0,35.0,35.0,70.0,70.0,35.0
2018-04-19,67.5,32.5,67.5,32.5,32.5,67.5,67.5,32.5
2018-04-20,65.0,30.0,65.0,30.0,30.0,65.0,65.0,30.0
2018-04-23,62.5,27.5,62.5,27.5,27.5,62.5,62.5,27.5
2018-04-24,60.0,25.0,60.0,25.0,25.0,60.0,60.0,25.0
2018-04-25,57.5,22.5,57.5,22.5,22.5,57.5,57.5,22.5
2018-04-26,55.0,20.0,55.0,20.0,20.0,55.0,55.0,20.0
2018-04-27,52.5,17.5,52.5,17.5,17.5,52.5,52.5,17.5
2018-04-30,50.0,15.0,50.0,15.0,15.0,50.0,50.0,15.0
2018-05-01,47.5,12.5,47.5,12.5,12.5,47.5,47.5,12.5
2018-05-02,45.0,10.0,45.0,10.0,10.0,45.0,45.0,10.0
2018-05-03,100.0,7.5,100.0,7.5,7.5,100.0,100.0,7.5
2018-05-04,97.5,5.0,97.5,5.0,5.0,97.5,97.5,5.0
2018-05-07,95.0,2.5,95.0,2.5,2.5,95.0,95.0,2.5
2018-05-08,92.5,0.0,92.5,0.0,0.0,92.5,92.5,0.0
2018-05-09,90.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-05-10,87.5,5.0,87.5,5.0,5.0,87.5,87.5,5.0
2018-05-11,85.0,2.5,85.0,2.5,2.5,85.0,85.0,2.5
2018-05-14,82.5,0.0,82.5,0.0,0.0,82.5,82.5,0.0
2018-05-15,80.0,5.0,80.0,5.0,5.0,80.0,80.0,5.0
2018-05-16,77.5,2.5,77.5,2.5,2.5,77.5,77.5,2.5
2018-05-17,75.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0
2018-05-18,72.5,0.0,72.5,0.0,0.0,72.5,72.5,0.0
2018-05-21,70.0,90.0,70.0,90.0,90.0,70.0,70.0,90.0
2018-05-22,67.5,87.5,67.5,87.5,87.5,67.5,67.5,87.5
2018-05-23,65.0,85.0,65.0,85.0,85.0,65.0,65.0,85.0
2018-05-24,62.5,82.5,62.5,82.5,82.5,62.5,62.5,82.5
2018-05-25,60.0,80.0,60.0,80.0,80.0,60.0,60.0,80.0
2018-05-29,57.5,77.5,57.5,77.5,77.5,57.5,57.5,77.5
2018-05-30,55.0,75.0,55.0,75.0,75.0,55.0,55.0,75.0
2018-05-31,52.5,72.5,52.5,72.5,72.5,52.5,52.5,72.5
2018-06-01,50.0,70.0,50.0,70.0,70.0,50.0,50.0,70.0
2018-06-04,47.5,67.5,47.5,67.5,67.5,47.5,47.5,67.5
