date,open,low,high,close
2018-01-02,29.35,29.35,29.35,29.35
2018-01-03,29.3677,29.3677,29.3677,29.3677
2018-01-04,29.4477,29.4477,29.4477,29.4477
2018-01-05,29.5453,29.5453,29.5453,29.5453
2018-01-08,29.5611,29.5611,29.5611,29.5611
2018-01-09,29.5867,29.5867,29.5867,29.5867
2018-01-10,29.6681,29.6681,29.6681,29.6681
2018-01-11,29.7761,29.7761,29.7761,29.7761
2018-01-12,29.9914,29.9914,29.9914,29.9914
2018-01-16,30.3125,30.3125,30.3125,30.3125
2018-01-17,30.4851,30.4851,30.4851,30.4851
2018-01-18,30.7543,30.7543,30.7543,30.7543
2018-01-19,31.0051,31.0051,31.0051,31.0051
2018-01-22,31.2535,31.2535,31.2535,31.2535
2018-01-23,31.5076,31.5076,31.5076,31.5076
2018-01-24,31.7301,31.7301,31.7301,31.7301
2018-01-25,31.864,31.864,31.864,31.864
2018-01-26,31.989,31.989,31.989,31.989
2018-01-29,32.0902,32.0902,32.0902,32.0902
2018-01-30,32.0706,32.0706,32.0706,32.0706
2018-01-31,32.0613,32.0613,32.0613,32.0613
2018-02-01,32.1297,32.1297,32.1297,32.1297
2018-02-02,32.1267,32.1267,32.1267,32.1267
2018-02-05,31.9078,31.9078,31.9078,31.9078
2018-02-06,31.8898,31.8898,31.8898,31.8898
2018-02-07,31.8694,31.8694,31.8694,31.8694
2018-02-08,31.6748,31.6748,31.6748,31.6748
2018-02-09,31.5976,31.5976,31.5976,31.5976
2018-02-12,31.585,31.585,31.585,31.585
2018-02-13,31.5785,31.5785,31.5785,31.5785
2018-02-14,31.5802,31.5802,31.5802,31.5802
2018-02-15,31.5852,31.5852,31.5852,31.5852
2018-02-16,31.5869,31.5869,31.5869,31.5869
2018-02-20,31.6094,31.6094,31.6094,31.6094
2018-02-21,31.6158,31.6158,31.6158,31.6158
2018-02-22,31.6169,31.6169,31.6169,31.6169
2018-02-23,31.7115,31.7115,31.7115,31.7115
2018-02-26,31.8658,31.8658,31.8658,31.8658
2018-02-27,31.9274,31.9274,31.9274,31.9274
2018-02-28,31.9407,31.9407,31.9407,31.9407
2018-03-01,31.9232,31.9232,31.9232,31.9232
2018-03-02,31.9098,31.9098,31.9098,31.9098
2018-03-05,31.9121,31.9121,31.9121,31.9121
2018-03-06,31.9143,31.9143,31.9143,31.9143
2018-03-07,31.9193,31.9193,31.9193,31.9193
2018-03-08,31.9295,31.9295,31.9295,31.9295
2018-03-09,31.9691,31.9691,31.9691,31.9691
2018-03-12,31.995,31.995,31.995,31.995
2018-03-13,31.9968,31.9968,31.9968,31.9968
2018-03-14,31.9976,31.9976,31.9976,31.9976
2018-03-15,32.0035,32.0035,32.0035,32.0035
2018-03-16,32.0117,32.0117,32.0117,32.0117
2018-03-19,32.0113,32.0113,32.0113,32.0113
2018-03-20,32.0109,32.0109,32.0109,32.0109
2018-03-21,32.0068,32.0068,32.0068,32.0068
2018-03-22,31.7873,31.7873,31.7873,31.7873
2018-03-23,30.8184,30.8184,30.8184,30.8184
2018-03-26,30.7723,30.7723,30.7723,30.7723
2018-03-27,30.5968,30.5968,30.5968,30.5968
2018-03-28,30.4321,30.4321,30.4321,30.4321
2018-03-29,30.3983,30.3983,30.3983,30.3983
2018-04-02,30.283,30.283,30.283,30.283
2018-04-03,30.2288,30.2288,30.2288,30.2288
2018-04-04,30.2078,30.2078,30.2078,30.2078
2018-04-05,30.2119,30.2119,30.2119,30.2119
2018-04-06,30.1993,30.1993,30.1993,30.1993
2018-04-09,30.1927,30.1927,30.1927,30.1927
2018-04-10,30.1941,30.1941,30.1941,30.1941
2018-04-11,30.1902,30.1902,30.1902,30.1902
2018-04-12,30.2108,30.2108,30.2108,30.2108
2018-04-13,30.2078,30.2078,30.2078,30.2078
2018-04-16,30.2023,30.2023,30.2023,30.2023
2018-04-17,30.1998,30.1998,30.1998,30.1998
2018-04-18,30.1921,30.1921,30.1921,30.1921
2018-04-19,30.192,30.192,30.192,30.192
2018-04-20,30.1935,30.1935,30.1935,30.1935
2018-04-23,30.1956,30.1956,30.1956,30.1956
2018-04-24,30.1955,30.1955,30.1955,30.1955
2018-04-25,30.1948,30.1948,30.1948,30.1948
2018-04-26,30.19,30.19,30.19,30.19
2018-04-27,30.1888,30.1888,30.1888,30.1888
2018-04-30,30.1875,30.1875,30.1875,30.1875
2018-05-01,30.1855,30.1855,30.1855,30.1855
2018-05-02,30.1814,30.1814,30.1814,30.1814
2018-05-03,29.9708,29.9708,29.9708,29.9708
2018-05-04,29.835,29.835,29.835,29.835
2018-05-07,29.8181,29.8181,29.8181,29.8181
2018-05-08,29.8205,29.8205,29.8205,29.8205
2018-05-09,29.8546,29.8546,29.8546,29.8546
2018-05-10,29.9153,29.9153,29.9153,29.9153
2018-05-11,29.9705,29.9705,29.9705,29.9705
2018-05-14,30.0973,30.0973,30.0973,30.0973
2018-05-15,30.2275,30.2275,30.2275,30.2275
2018-05-16,30.3693,30.3693,30.3693,30.3693
