date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,10.0,100.0,10.0,100.0,100.0,10.0,10.0,100.0
2018-01-03,5.0,100.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-01-04,0.0,95.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-01-05,15.0,90.0,15.0,90.0,90.0,15.0,15.0,90.0
2018-01-08,10.0,85.0,10.0,85.0,85.0,10.0,10.0,85.0
2018-01-09,5.0,80.0,5.0,80.0,80.0,5.0,5.0,80.0
2018-01-10,100.0,75.0,100.0,75.0,75.0,100.0,100.0,75.0
2018-01-11,95.0,70.0,95.0,70.0,70.0,95.0,95.0,70.0
2018-01-12,90.0,65.0,90.0,65.0,65.0,90.0,90.0,65.0
2018-01-16,100.0,60.0,100.0,60.0,60.0,100.0,100.0,60.0
2018-01-17,95.0,55.0,95.0,55.0,55.0,95.0,95.0,55.0
2018-01-18,90.0,50.0,90.0,50.0,50.0,90.0,90.0,50.0
2018-01-19,85.0,45.0,85.0,45.0,45.0,85.0,85.0,45.0
2018-01-22,100.0,40.0,100.0,40.0,40.0,100.0,100.0,40.0
2018-01-23,100.0,35.0,100.0,35.0,35.0,100.0,100.0,35.0
2018-01-24,95.0,30.0,95.0,30.0,30.0,95.0,95.0,30.0
2018-01-25,90.0,25.0,90.0,25.0,25.0,90.0,90.0,25.0
2018-01-26,85.0,20.0,85.0,20.0,20.0,85.0,85.0,20.0
2018-01-29,100.0,15.0,100.0,15.0,15.0,100.0,100.0,15.0
2018-01-30,95.0,10.0,95.0,10.0,10.0,95.0,95.0,10.0
2018-01-31,90.0,5.0,90.0,5.0,5.0,90.0,90.0,5.0
2018-02-01,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-02-02,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-02-05,95.0,0.0,95.0,0.0,0.0,95.0,95.0,0.0
2018-02-06,90.0,100.0,90.0,100.0,100.0,90.0,90.0,100.0
2018-02-07,85.0,95.0,85.0,95.0,95.0,85.0,85.0,95.0
2018-02-08,80.0,90.0,80.0,90.0,90.0,80.0,80.0,90.0
2018-02-09,75.0,85.0,75.0,85.0,85.0,75.0,75.0,85.0
2018-02-12,70.0,80.0,70.0,80.0,80.0,70.0,70.0,80.0
2018-02-13,65.0,75.0,65.0,75.0,75.0,65.0,65.0,75.0
2018-02-14,60.0,70.0,60.0,70.0,70.0,60.0,60.0,70.0
2018-02-15,100.0,65.0,100.0,65.0,65.0,100.0,100.0,65.0
2018-02-16,100.0,60.0,100.0,60.0,60.0,100.0,100.0,60.0
2018-02-20,95.0,55.0,95.0,55.0,55.0,95.0,95.0,55.0
2018-02-21,90.0,50.0,90.0,50.0,50.0,90.0,90.0,50.0
2018-02-22,85.0,45.0,85.0,45.0,45.0,85.0,85.0,45.0
2018-02-23,80.0,40.0,80.0,40.0,40.0,80.0,80.0,40.0
2018-02-26,100.0,35.0,100.0,35.0,35.0,100.0,100.0,35.0
2018-02-27,100.0,30.0,100.0,30.0,30.0,100.0,100.0,30.0
2018-02-28,95.0,25.0,95.0,25.0,25.0,95.0,95.0,25.0
2018-03-01,90.0,20.0,90.0,20.0,20.0,90.0,90.0,20.0
2018-03-02,85.0,15.0,85.0,15.0,15.0,85.0,85.0,15.0
2018-03-05,100.0,10.0,100.0,10.0,10.0,100.0,100.0,10.0
2018-03-06,100.0,5.0,100.0,5.0,5.0,100.0,100.0,5.0
2018-03-07,95.0,0.0,95.0,0.0,0.0,95.0,95.0,0.0
2018-03-08,90.0,10.0,90.0,10.0,10.0,90.0,90.0,10.0
2018-03-09,100.0,5.0,100.0,5.0,5.0,100.0,100.0,5.0
2018-03-12,95.0,0.0,95.0,0.0,0.0,95.0,95.0,0.0
2018-03-13,90.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-03-14,85.0,0.0,85.0,0.0,0.0,85.0,85.0,0.0
2018-03-15,80.0,0.0,80.0,0.0,0.0,80.0,80.0,0.0
2018-03-16,75.0,20.0,75.0,20.0,20.0,75.0,75.0,20.0
2018-03-19,70.0,15.0,70.0,15.0,15.0,70.0,70.0,15.0
2018-03-20,65.0,10.0,65.0,10.0,10.0,65.0,65.0,10.0
2018-03-21,60.0,5.0,60.0,5.0,5.0,60.0,60.0,5.0
2018-03-22,55.0,100.0,55.0,100.0,100.0,55.0,55.0,100.0
2018-03-23,50.0,100.0,50.0,100.0,100.0,50.0,50.0,100.0
2018-03-26,45.0,95.0,45.0,95.0,95.0,45.0,45.0,95.0
2018-03-27,40.0,100.0,40.0,100.0,100.0,40.0,40.0,100.0
2018-03-28,35.0,100.0,35.0,100.0,100.0,35.0,35.0,100.0
2018-03-29,30.0,95.0,30.0,95.0,95.0,30.0,30.0,95.0
2018-04-02,25.0,100.0,25.0,100.0,100.0,25.0,25.0,100.0
2018-04-03,20.0,95.0,20.0,95.0,95.0,20.0,20.0,95.0
2018-04-04,15.0,90.0,15.0,90.0,90.0,15.0,15.0,90.0
2018-04-05,10.0,85.0,10.0,85.0,85.0,10.0,10.0,85.0
2018-04-06,5.0,80.0,5.0,80.0,80.0,5.0,5.0,80.0
2018-04-09,0.0,75.0,0.0,75.0,75.0,0.0,0.0,75.0
2018-04-10,0.0,70.0,0.0,70.0,70.0,0.0,0.0,70.0
2018-04-11,0.0,65.0,0.0,65.0,65.0,0.0,0.0,65.0
2018-04-12,5.0,60.0,5.0,60.0,60.0,5.0,5.0,60.0
2018-04-13,0.0,55.0,0.0,55.0,55.0,0.0,0.0,55.0
2018-04-16,40.0,50.0,40.0,50.0,50.0,40.0,40.0,50.0
2018-04-17,35.0,45.0,35.0,45.0,45.0,35.0,35.0,45.0
2018-04-18,30.0,40.0,30.0,40.0,40.0,30.0,30.0,40.0
2018-04-19,25.0,35.0,25.0,35.0,35.0,25.0,25.0,35.0
2018-04-20,20.0,30.0,20.0,30.0,30.0,20.0,20.0,30.0
2018-04-23,15.0,25.0,15.0,25.0,25.0,15.0,15.0,25.0
2018-04-24,10.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0
2018-04-25,5.0,15.0,5.0,15.0,15.0,5.0,5.0,15.0
2018-04-26,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0
2018-04-27,60.0,5.0,60.0,5.0,5.0,60.0,60.0,5.0
2018-04-30,55.0,0.0,55.0,0.0,0.0,55.0,55.0,0.0
2018-05-01,50.0,100.0,50.0,100.0,100.0,50.0,50.0,100.0
2018-05-02,45.0,95.0,45.0,95.0,95.0,45.0,45.0,95.0
2018-05-03,40.0,100.0,40.0,100.0,100.0,40.0,40.0,100.0
2018-05-04,35.0,95.0,35.0,95.0,95.0,35.0,35.0,95.0
2018-05-07,30.0,90.0,30.0,90.0,90.0,30.0,30.0,90.0
2018-05-08,25.0,85.0,25.0,85.0,85.0,25.0,25.0,85.0
2018-05-09,20.0,80.0,20.0,80.0,80.0,20.0,20.0,80.0
2018-05-10,15.0,75.0,15.0,75.0,75.0,15.0,15.0,75.0
2018-05-11,10.0,70.0,10.0,70.0,70.0,10.0,10.0,70.0
2018-05-14,5.0,65.0,5.0,65.0,65.0,5.0,5.0,65.0
2018-05-15,0.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0
2018-05-16,5.0,55.0,5.0,55.0,55.0,5.0,5.0,55.0
2018-05-17,0.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0
2018-05-18,0.0,45.0,0.0,45.0,45.0,0.0,0.0,45.0
2018-05-21,5.0,40.0,5.0,40.0,40.0,5.0,5.0,40.0
2018-05-22,0.0,35.0,0.0,35.0,35.0,0.0,0.0,35.0
2018-05-23,5.0,30.0,5.0,30.0,30.0,5.0,5.0,30.0
2018-05-24,0.0,25.0,0.0,25.0,25.0,0.0,0.0,25.0
2018-05-25,80.0,20.0,80.0,20.0,20.0,80.0,80.0,20.0
2018-05-29,75.0,15.0,75.0,15.0,15.0,75.0,75.0,15.0
2018-05-30,100.0,10.0,100.0,10.0,10.0,100.0,100.0,10.0
2018-05-31,95.0,5.0,95.0,5.0,5.0,95.0,95.0,5.0
2018-06-01,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-06-04,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-06-05,100.0,65.0,100.0,65.0,65.0,100.0,100.0,65.0
2018-06-06,100.0,60.0,100.0,60.0,60.0,100.0,100.0,60.0
2018-06-07,95.0,55.0,95.0,55.0,55.0,95.0,95.0,55.0
2018-06-08,90.0,50.0,90.0,50.0,50.0,90.0,90.0,50.0
2018-06-11,85.0,45.0,85.0,45.0,45.0,85.0,85.0,45.0
2018-06-12,80.0,40.0,80.0,40.0,40.0,80.0,80.0,40.0
2018-06-13,75.0,35.0,75.0,35.0,35.0,75.0,75.0,35.0
2018-06-14,70.0,30.0,70.0,30.0,30.0,70.0,70.0,30.0
2018-06-15,65.0,25.0,65.0,25.0,25.0,65.0,65.0,25.0
2018-06-18,60.0,20.0,60.0,20.0,20.0,60.0,60.0,20.0
2018-06-19,55.0,15.0,55.0,15.0,15.0,55.0,55.0,15.0
2018-06-20,50.0,10.0,50.0,10.0,10.0,50.0,50.0,10.0
2018-06-21,45.0,5.0,45.0,5.0,5.0,45.0,45.0,5.0
2018-06-22,40.0,0.0,40.0,0.0,0.0,40.0,40.0,0.0
2018-06-25,35.0,5.0,35.0,5.0,5.0,35.0,35.0,5.0
2018-06-26,30.0,0.0,30.0,0.0,0.0,30.0,30.0,0.0
2018-06-27,25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0
2018-06-28,20.0,100.0,20.0,100.0,100.0,20.0,20.0,100.0
2018-06-29,15.0,95.0,15.0,95.0,95.0,15.0,15.0,95.0
2018-07-02,10.0,90.0,10.0,90.0,90.0,10.0,10.0,90.0
2018-07-03,5.0,100.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-07-05,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-07-06,0.0,95.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-07-09,20.0,90.0,20.0,90.0,90.0,20.0,20.0,90.0
2018-07-10,15.0,85.0,15.0,85.0,85.0,15.0,15.0,85.0
2018-07-11,10.0,80.0,10.0,80.0,80.0,10.0,10.0,80.0
2018-07-12,5.0,75.0,5.0,75.0,75.0,5.0,5.0,75.0
2018-07-13,0.0,70.0,0.0,70.0,70.0,0.0,0.0,70.0
2018-07-16,0.0,65.0,0.0,65.0,65.0,0.0,0.0,65.0
2018-07-17,20.0,60.0,20.0,60.0,60.0,20.0,20.0,60.0
2018-07-18,100.0,55.0,100.0,55.0,55.0,100.0,100.0,55.0
2018-07-19,95.0,50.0,95.0,50.0,50.0,95.0,95.0,50.0
2018-07-20,90.0,45.0,90.0,45.0,45.0,90.0,90.0,45.0
2018-07-23,85.0,40.0,85.0,40.0,40.0,85.0,85.0,40.0
2018-07-24,80.0,35.0,80.0,35.0,35.0,80.0,80.0,35.0
2018-07-25,75.0,30.0,75.0,30.0,30.0,75.0,75.0,30.0
2018-07-26,100.0,25.0,100.0,25.0,25.0,100.0,100.0,25.0
2018-07-27,95.0,20.0,95.0,20.0,20.0,95.0,95.0,20.0
2018-07-30,90.0,15.0,90.0,15.0,15.0,90.0,90.0,15.0
2018-07-31,85.0,100.0,85.0,100.0,100.0,85.0,85.0,100.0
2018-08-01,80.0,95.0,80.0,95.0,95.0,80.0,80.0,95.0
2018-08-02,75.0,90.0,75.0,90.0,90.0,75.0,75.0,90.0
2018-08-03,70.0,85.0,70.0,85.0,85.0,70.0,70.0,85.0
2018-08-06,65.0,80.0,65.0,80.0,80.0,65.0,65.0,80.0
2018-08-07,60.0,75.0,60.0,75.0,75.0,60.0,60.0,75.0
2018-08-08,55.0,70.0,55.0,70.0,70.0,55.0,55.0,70.0
2018-08-09,50.0,65.0,50.0,65.0,65.0,50.0,50.0,65.0
2018-08-10,45.0,60.0,45.0,60.0,60.0,45.0,45.0,60.0
2018-08-13,40.0,55.0,40.0,55.0,55.0,40.0,40.0,55.0
2018-08-14,35.0,50.0,35.0,50.0,50.0,35.0,35.0,50.0
2018-08-15,30.0,45.0,30.0,45.0,45.0,30.0,30.0,45.0
2018-08-16,25.0,40.0,25.0,40.0,40.0,25.0,25.0,40.0
2018-08-17,20.0,35.0,20.0,35.0,35.0,20.0,20.0,35.0
2018-08-20,15.0,30.0,15.0,30.0,30.0,15.0,15.0,30.0
2018-08-21,10.0,25.0,10.0,25.0,25.0,10.0,10.0,25.0
2018-08-22,5.0,20.0,5.0,20.0,20.0,5.0,5.0,20.0
2018-08-23,0.0,15.0,0.0,15.0,15.0,0.0,0.0,15.0
2018-08-24,80.0,10.0,80.0,10.0,10.0,80.0,80.0,10.0
2018-08-27,100.0,5.0,100.0,5.0,5.0,100.0,100.0,5.0
