date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down
2018-01-02,84.2975,33.8843,84.2975,33.8843,84.2975,33.8843,84.2975,33.8843
2018-01-03,83.4711,33.0579,83.4711,33.0579,83.4711,33.0579,83.4711,33.0579
2018-01-04,82.6446,32.2314,82.6446,32.2314,82.6446,32.2314,82.6446,32.2314
2018-01-05,81.8182,31.405,81.8182,31.405,81.8182,31.405,81.8182,31.405
2018-01-08,80.9917,30.5785,80.9917,30.5785,80.9917,30.5785,80.9917,30.5785
2018-01-09,80.1653,29.7521,80.1653,29.7521,80.1653,29.7521,80.1653,29.7521
2018-01-10,100.0,28.9256,100.0,28.9256,100.0,28.9256,100.0,28.9256
2018-01-11,100.0,28.0992,100.0,28.0992,100.0,28.0992,100.0,28.0992
2018-01-12,100.0,27.2727,100.0,27.2727,100.0,27.2727,100.0,27.2727
2018-01-16,100.0,26.4463,100.0,26.4463,100.0,26.4463,100.0,26.4463
2018-01-17,99.1736,25.6198,99.1736,25.6198,99.1736,25.6198,99.1736,25.6198
2018-01-18,98.3471,24.7934,98.3471,24.7934,98.3471,24.7934,98.3471,24.7934
2018-01-19,97.5207,23.9669,97.5207,23.9669,97.5207,23.9669,97.5207,23.9669
2018-01-22,96.6942,23.1405,96.6942,23.1405,96.6942,23.1405,96.6942,23.1405
2018-01-23,95.8678,22.314,95.8678,22.314,95.8678,22.314,95.8678,22.314
2018-01-24,100.0,21.4876,100.0,21.4876,100.0,21.4876,100.0,21.4876
2018-01-25,100.0,20.6612,100.0,20.6612,100.0,20.6612,100.0,20.6612
2018-01-26,99.1736,19.8347,99.1736,19.8347,99.1736,19.8347,99.1736,19.8347
2018-01-29,100.0,19.0083,100.0,19.0083,100.0,19.0083,100.0,19.0083
2018-01-30,99.1736,18.1818,99.1736,18.1818,99.1736,18.1818,99.1736,18.1818
2018-01-31,98.3471,17.3554,98.3471,17.3554,98.3471,17.3554,98.3471,17.3554
2018-02-01,97.5207,16.5289,97.5207,16.5289,97.5207,16.5289,97.5207,16.5289
2018-02-02,96.6942,15.7025,96.6942,15.7025,96.6942,15.7025,96.6942,15.7025
2018-02-05,95.8678,14.876,95.8678,14.876,95.8678,14.876,95.8678,14.876
2018-02-06,95.0413,14.0496,95.0413,14.0496,95.0413,14.0496,95.0413,14.0496
2018-02-07,94.2149,13.2231,94.2149,13.2231,94.2149,13.2231,94.2149,13.2231
2018-02-08,93.3884,12.3967,93.3884,12.3967,93.3884,12.3967,93.3884,12.3967
2018-02-09,92.562,11.5702,92.562,11.5702,92.562,11.5702,92.562,11.5702
2018-02-12,91.7355,10.7438,91.7355,10.7438,91.7355,10.7438,91.7355,10.7438
2018-02-13,90.9091,9.9174,90.9091,9.9174,90.9091,9.9174,90.9091,9.9174
2018-02-14,90.0826,9.0909,90.0826,9.0909,90.0826,9.0909,90.0826,9.0909
2018-02-15,89.2562,8.2645,89.2562,8.2645,89.2562,8.2645,89.2562,8.2645
2018-02-16,88.4298,7.438,88.4298,7.438,88.4298,7.438,88.4298,7.438
2018-02-20,87.6033,6.6116,87.6033,6.6116,87.6033,6.6116,87.6033,6.6116
2018-02-21,86.7769,5.7851,86.7769,5.7851,86.7769,5.7851,86.7769,5.7851
2018-02-22,85.9504,4.9587,85.9504,4.9587,85.9504,4.9587,85.9504,4.9587
2018-02-23,85.124,4.1322,85.124,4.1322,85.124,4.1322,85.124,4.1322
2018-02-26,84.2975,3.3058,84.2975,3.3058,84.2975,3.3058,84.2975,3.3058
2018-02-27,83.4711,2.4793,83.4711,2.4793,83.4711,2.4793,83.4711,2.4793
2018-02-28,82.6446,1.6529,82.6446,1.6529,82.6446,1.6529,82.6446,1.6529
2018-03-01,81.8182,0.8264,81.8182,0.8264,81.8182,0.8264,81.8182,0.8264
2018-03-02,80.9917,0.0,80.9917,0.0,80.9917,0.0,80.9917,0.0
2018-03-05,80.1653,0.0,80.1653,0.0,80.1653,0.0,80.1653,0.0
2018-03-06,79.3388,0.0,79.3388,0.0,79.3388,0.0,79.3388,0.0
2018-03-07,78.5124,0.0,78.5124,0.0,78.5124,0.0,78.5124,0.0
2018-03-08,77.686,35.5372,77.686,35.5372,77.686,35.5372,77.686,35.5372
2018-03-09,76.8595,34.7107,76.8595,34.7107,76.8595,34.7107,76.8595,34.7107
2018-03-12,76.0331,33.8843,76.0331,33.8843,76.0331,33.8843,76.0331,33.8843
2018-03-13,75.2066,33.0579,75.2066,33.0579,75.2066,33.0579,75.2066,33.0579
2018-03-14,74.3802,32.2314,74.3802,32.2314,74.3802,32.2314,74.3802,32.2314
2018-03-15,73.5537,31.405,73.5537,31.405,73.5537,31.405,73.5537,31.405
2018-03-16,72.7273,30.5785,72.7273,30.5785,72.7273,30.5785,72.7273,30.5785
2018-03-19,71.9008,29.7521,71.9008,29.7521,71.9008,29.7521,71.9008,29.7521
2018-03-20,71.0744,28.9256,71.0744,28.9256,71.0744,28.9256,71.0744,28.9256
2018-03-21,70.2479,28.0992,70.2479,28.0992,70.2479,28.0992,70.2479,28.0992
2018-03-22,69.4215,100.0,69.4215,100.0,69.4215,100.0,69.4215,100.0
2018-03-23,68.595,100.0,68.595,100.0,68.595,100.0,68.595,100.0
2018-03-26,67.7686,99.1736,67.7686,99.1736,67.7686,99.1736,67.7686,99.1736
2018-03-27,66.9421,98.3471,66.9421,98.3471,66.9421,98.3471,66.9421,98.3471
2018-03-28,66.1157,97.5207,66.1157,97.5207,66.1157,97.5207,66.1157,97.5207
2018-03-29,65.2893,96.6942,65.2893,96.6942,65.2893,96.6942,65.2893,96.6942
2018-04-02,64.4628,100.0,64.4628,100.0,64.4628,100.0,64.4628,100.0
2018-04-03,63.6364,99.1736,63.6364,99.1736,63.6364,99.1736,63.6364,99.1736
2018-04-04,62.8099,98.3471,62.8099,98.3471,62.8099,98.3471,62.8099,98.3471
2018-04-05,61.9835,97.5207,61.9835,97.5207,61.9835,97.5207,61.9835,97.5207
2018-04-06,61.157,96.6942,61.157,96.6942,61.157,96.6942,61.157,96.6942
2018-04-09,60.3306,95.8678,60.3306,95.8678,60.3306,95.8678,60.3306,95.8678
2018-04-10,59.5041,95.0413,59.5041,95.0413,59.5041,95.0413,59.5041,95.0413
2018-04-11,58.6777,94.2149,58.6777,94.2149,58.6777,94.2149,58.6777,94.2149
2018-04-12,57.8512,93.3884,57.8512,93.3884,57.8512,93.3884,57.8512,93.3884
2018-04-13,57.0248,92.562,57.0248,92.562,57.0248,92.562,57.0248,92.562
2018-04-16,56.1983,91.7355,56.1983,91.7355,56.1983,91.7355,56.1983,91.7355
2018-04-17,55.3719,90.9091,55.3719,90.9091,55.3719,90.9091,55.3719,90.9091
