date,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up
2018-01-02,30.0,80.0,30.0,80.0,80.0,30.0,30.0,80.0
2018-01-03,27.5,77.5,27.5,77.5,77.5,27.5,27.5,77.5
2018-01-04,25.0,100.0,25.0,100.0,100.0,25.0,25.0,100.0
2018-01-05,22.5,97.5,22.5,97.5,97.5,22.5,22.5,97.5
2018-01-08,20.0,100.0,20.0,100.0,100.0,20.0,20.0,100.0
2018-01-09,17.5,100.0,17.5,100.0,100.0,17.5,17.5,100.0
2018-01-10,15.0,100.0,15.0,100.0,100.0,15.0,15.0,100.0
2018-01-11,12.5,100.0,12.5,100.0,100.0,12.5,12.5,100.0
2018-01-12,10.0,100.0,10.0,100.0,100.0,10.0,10.0,100.0
2018-01-16,7.5,100.0,7.5,100.0,100.0,7.5,7.5,100.0
2018-01-17,5.0,100.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-01-18,2.5,100.0,2.5,100.0,100.0,2.5,2.5,100.0
2018-01-19,0.0,97.5,0.0,97.5,97.5,0.0,0.0,97.5
2018-01-22,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-23,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-24,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-25,0.0,97.5,0.0,97.5,97.5,0.0,0.0,97.5
2018-01-26,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-29,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-30,2.5,97.5,2.5,97.5,97.5,2.5,2.5,97.5
2018-01-31,0.0,95.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-02-01,5.0,92.5,5.0,92.5,92.5,5.0,5.0,92.5
2018-02-02,2.5,90.0,2.5,90.0,90.0,2.5,2.5,90.0
2018-02-05,0.0,87.5,0.0,87.5,87.5,0.0,0.0,87.5
2018-02-06,100.0,85.0,100.0,85.0,85.0,100.0,100.0,85.0
2018-02-07,97.5,82.5,97.5,82.5,82.5,97.5,97.5,82.5
2018-02-08,95.0,80.0,95.0,80.0,80.0,95.0,95.0,80.0
2018-02-09,100.0,77.5,100.0,77.5,77.5,100.0,100.0,77.5
2018-02-12,97.5,75.0,97.5,75.0,75.0,97.5,97.5,75.0
2018-02-13,95.0,72.5,95.0,72.5,72.5,95.0,95.0,72.5
2018-02-14,92.5,70.0,92.5,70.0,70.0,92.5,92.5,70.0
2018-02-15,90.0,67.5,90.0,67.5,67.5,90.0,90.0,67.5
2018-02-16,87.5,65.0,87.5,65.0,65.0,87.5,87.5,65.0
2018-02-20,85.0,62.5,85.0,62.5,62.5,85.0,85.0,62.5
2018-02-21,82.5,60.0,82.5,60.0,60.0,82.5,82.5,60.0
2018-02-22,80.0,57.5,80.0,57.5,57.5,80.0,80.0,57.5
2018-02-23,77.5,55.0,77.5,55.0,55.0,77.5,77.5,55.0
2018-02-26,75.0,52.5,75.0,52.5,52.5,75.0,75.0,52.5
2018-02-27,72.5,50.0,72.5,50.0,50.0,72.5,72.5,50.0
2018-02-28,70.0,47.5,70.0,47.5,47.5,70.0,70.0,47.5
2018-03-01,67.5,45.0,67.5,45.0,45.0,67.5,67.5,45.0
2018-03-02,65.0,42.5,65.0,42.5,42.5,65.0,65.0,42.5
2018-03-05,62.5,40.0,62.5,40.0,40.0,62.5,62.5,40.0
2018-03-06,60.0,37.5,60.0,37.5,37.5,60.0,60.0,37.5
2018-03-07,57.5,35.0,57.5,35.0,35.0,57.5,57.5,35.0
2018-03-08,55.0,32.5,55.0,32.5,32.5,55.0,55.0,32.5
2018-03-09,52.5,30.0,52.5,30.0,30.0,52.5,52.5,30.0
2018-03-12,50.0,27.5,50.0,27.5,27.5,50.0,50.0,27.5
2018-03-13,47.5,25.0,47.5,25.0,25.0,47.5,47.5,25.0
2018-03-14,45.0,22.5,45.0,22.5,22.5,45.0,45.0,22.5
2018-03-15,42.5,20.0,42.5,20.0,20.0,42.5,42.5,20.0
2018-03-16,40.0,17.5,40.0,17.5,17.5,40.0,40.0,17.5
2018-03-19,37.5,15.0,37.5,15.0,15.0,37.5,37.5,15.0
2018-03-20,35.0,12.5,35.0,12.5,12.5,35.0,35.0,12.5
2018-03-21,32.5,10.0,32.5,10.0,10.0,32.5,32.5,10.0
2018-03-22,30.0,7.5,30.0,7.5,7.5,30.0,30.0,7.5
2018-03-23,27.5,5.0,27.5,5.0,5.0,27.5,27.5,5.0
2018-03-26,25.0,2.5,25.0,2.5,2.5,25.0,25.0,2.5
2018-03-27,22.5,0.0,22.5,0.0,0.0,22.5,22.5,0.0
2018-03-28,20.0,5.0,20.0,5.0,5.0,20.0,20.0,5.0
2018-03-29,17.5,2.5,17.5,2.5,2.5,17.5,17.5,2.5
2018-04-02,15.0,0.0,15.0,0.0,0.0,15.0,15.0,0.0
2018-04-03,12.5,0.0,12.5,0.0,0.0,12.5,12.5,0.0
2018-04-04,10.0,60.0,10.0,60.0,60.0,10.0,10.0,60.0
2018-04-05,7.5,57.5,7.5,57.5,57.5,7.5,7.5,57.5
2018-04-06,5.0,55.0,5.0,55.0,55.0,5.0,5.0,55.0
2018-04-09,2.5,52.5,2.5,52.5,52.5,2.5,2.5,52.5
2018-04-10,0.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0
2018-04-11,70.0,47.5,70.0,47.5,47.5,70.0,70.0,47.5
2018-04-12,67.5,45.0,67.5,45.0,45.0,67.5,67.5,45.0
2018-04-13,65.0,42.5,65.0,42.5,42.5,65.0,65.0,42.5
2018-04-16,62.5,40.0,62.5,40.0,40.0,62.5,62.5,40.0
2018-04-17,60.0,37.5,60.0,37.5,37.5,60.0,60.0,37.5
2018-04-18,57.5,35.0,57.5,35.0,35.0,57.5,57.5,35.0
2018-04-19,55.0,32.5,55.0,32.5,32.5,55.0,55.0,32.5
2018-04-20,52.5,30.0,52.5,30.0,30.0,52.5,52.5,30.0
2018-04-23,50.0,27.5,50.0,27.5,27.5,50.0,50.0,27.5
2018-04-24,47.5,25.0,47.5,25.0,25.0,47.5,47.5,25.0
2018-04-25,45.0,22.5,45.0,22.5,22.5,45.0,45.0,22.5
2018-04-26,42.5,20.0,42.5,20.0,20.0,42.5,42.5,20.0
2018-04-27,40.0,17.5,40.0,17.5,17.5,40.0,40.0,17.5
2018-04-30,37.5,15.0,37.5,15.0,15.0,37.5,37.5,15.0
2018-05-01,35.0,12.5,35.0,12.5,12.5,35.0,35.0,12.5
2018-05-02,32.5,10.0,32.5,10.0,10.0,32.5,32.5,10.0
2018-05-03,100.0,7.5,100.0,7.5,7.5,100.0,100.0,7.5
2018-05-04,97.5,5.0,97.5,5.0,5.0,97.5,97.5,5.0
2018-05-07,95.0,2.5,95.0,2.5,2.5,95.0,95.0,2.5
2018-05-08,92.5,0.0,92.5,0.0,0.0,92.5,92.5,0.0
2018-05-09,90.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-05-10,87.5,0.0,87.5,0.0,0.0,87.5,87.5,0.0
2018-05-11,85.0,0.0,85.0,0.0,0.0,85.0,85.0,0.0
2018-05-14,82.5,0.0,82.5,0.0,0.0,82.5,82.5,0.0
2018-05-15,80.0,5.0,80.0,5.0,5.0,80.0,80.0,5.0
2018-05-16,77.5,2.5,77.5,2.5,2.5,77.5,77.5,2.5
2018-05-17,75.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0
2018-05-18,72.5,0.0,72.5,0.0,0.0,72.5,72.5,0.0
2018-05-21,70.0,20.0,70.0,20.0,20.0,70.0,70.0,20.0
2018-05-22,67.5,17.5,67.5,17.5,17.5,67.5,67.5,17.5
2018-05-23,65.0,15.0,65.0,15.0,15.0,65.0,65.0,15.0
2018-05-24,62.5,12.5,62.5,12.5,12.5,62.5,62.5,12.5
2018-05-25,60.0,10.0,60.0,10.0,10.0,60.0,60.0,10.0
2018-05-29,100.0,7.5,100.0,7.5,7.5,100.0,100.0,7.5
2018-05-30,97.5,5.0,97.5,5.0,5.0,97.5,97.5,5.0
2018-05-31,95.0,2.5,95.0,2.5,2.5,95.0,95.0,2.5
2018-06-01,92.5,0.0,92.5,0.0,0.0,92.5,92.5,0.0
2018-06-04,90.0,62.5,90.0,62.5,62.5,90.0,90.0,62.5
2018-06-05,87.5,60.0,87.5,60.0,60.0,87.5,87.5,60.0
2018-06-06,85.0,57.5,85.0,57.5,57.5,85.0,85.0,57.5
2018-06-07,82.5,55.0,82.5,55.0,55.0,82.5,82.5,55.0
2018-06-08,80.0,52.5,80.0,52.5,52.5,80.0,80.0,52.5
2018-06-11,77.5,50.0,77.5,50.0,50.0,77.5,77.5,50.0
2018-06-12,75.0,47.5,75.0,47.5,47.5,75.0,75.0,47.5
2018-06-13,72.5,45.0,72.5,45.0,45.0,72.5,72.5,45.0
2018-06-14,70.0,42.5,70.0,42.5,42.5,70.0,70.0,42.5
2018-06-15,67.5,40.0,67.5,40.0,40.0,67.5,67.5,40.0
2018-06-18,65.0,37.5,65.0,37.5,37.5,65.0,65.0,37.5
2018-06-19,62.5,35.0,62.5,35.0,35.0,62.5,62.5,35.0
2018-06-20,60.0,32.5,60.0,32.5,32.5,60.0,60.0,32.5
2018-06-21,100.0,30.0,100.0,30.0,30.0,100.0,100.0,30.0
2018-06-22,97.5,27.5,97.5,27.5,27.5,97.5,97.5,27.5
2018-06-25,100.0,25.0,100.0,25.0,25.0,100.0,100.0,25.0
2018-06-26,97.5,22.5,97.5,22.5,22.5,97.5,97.5,22.5
2018-06-27,100.0,20.0,100.0,20.0,20.0,100.0,100.0,20.0
2018-06-28,97.5,17.5,97.5,17.5,17.5,97.5,97.5,17.5
2018-06-29,95.0,15.0,95.0,15.0,15.0,95.0,95.0,15.0
2018-07-02,92.5,12.5,92.5,12.5,12.5,92.5,92.5,12.5
2018-07-03,90.0,10.0,90.0,10.0,10.0,90.0,90.0,10.0
2018-07-05,87.5,7.5,87.5,7.5,7.5,87.5,87.5,7.5
2018-07-06,85.0,5.0,85.0,5.0,5.0,85.0,85.0,5.0
2018-07-09,82.5,2.5,82.5,2.5,2.5,82.5,82.5,2.5
2018-07-10,80.0,0.0,80.0,0.0,0.0,80.0,80.0,0.0
2018-07-11,77.5,0.0,77.5,0.0,0.0,77.5,77.5,0.0
2018-07-12,75.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0
2018-07-13,72.5,10.0,72.5,10.0,10.0,72.5,72.5,10.0
2018-07-16,70.0,7.5,70.0,7.5,7.5,70.0,70.0,7.5
2018-07-17,67.5,5.0,67.5,5.0,5.0,67.5,67.5,5.0
2018-07-18,65.0,100.0,65.0,100.0,100.0,65.0,65.0,100.0
2018-07-19,62.5,97.5,62.5,97.5,97.5,62.5,62.5,97.5
2018-07-20,60.0,95.0,60.0,95.0,95.0,60.0,60.0,95.0
2018-07-23,57.5,92.5,57.5,92.5,92.5,57.5,57.5,92.5
2018-07-24,55.0,90.0,55.0,90.0,90.0,55.0,55.0,90.0
2018-07-25,52.5,87.5,52.5,87.5,87.5,52.5,52.5,87.5
2018-07-26,50.0,85.0,50.0,85.0,85.0,50.0,50.0,85.0
2018-07-27,47.5,82.5,47.5,82.5,82.5,47.5,47.5,82.5
2018-07-30,45.0,80.0,45.0,80.0,80.0,45.0,45.0,80.0
2018-07-31,42.5,77.5,42.5,77.5,77.5,42.5,42.5,77.5
2018-08-01,40.0,75.0,40.0,75.0,75.0,40.0,40.0,75.0
2018-08-02,37.5,72.5,37.5,72.5,72.5,37.5,37.5,72.5
2018-08-03,35.0,70.0,35.0,70.0,70.0,35.0,35.0,70.0
2018-08-06,32.5,100.0,32.5,100.0,100.0,32.5,32.5,100.0
2018-08-07,30.0,100.0,30.0,100.0,100.0,30.0,30.0,100.0
2018-08-08,27.5,97.5,27.5,97.5,97.5,27.5,27.5,97.5
2018-08-09,25.0,95.0,25.0,95.0,95.0,25.0,25.0,95.0
2018-08-10,22.5,92.5,22.5,92.5,92.5,22.5,22.5,92.5
2018-08-13,20.0,90.0,20.0,90.0,90.0,20.0,20.0,90.0
2018-08-14,17.5,87.5,17.5,87.5,87.5,17.5,17.5,87.5
2018-08-15,15.0,85.0,15.0,85.0,85.0,15.0,15.0,85.0
