date,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,0.0,75.0,75.0,0.0,0.0,75.0,75.0,0.0
2018-01-03,0.0,70.0,70.0,0.0,0.0,70.0,70.0,0.0
2018-01-04,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-05,0.0,95.0,95.0,0.0,0.0,95.0,95.0,0.0
2018-01-08,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-01-09,5.0,85.0,85.0,5.0,5.0,85.0,85.0,5.0
2018-01-10,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-11,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-12,5.0,95.0,95.0,5.0,5.0,95.0,95.0,5.0
2018-01-16,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-01-17,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-18,10.0,100.0,100.0,10.0,10.0,100.0,100.0,10.0
2018-01-19,5.0,95.0,95.0,5.0,5.0,95.0,95.0,5.0
2018-01-22,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-23,15.0,100.0,100.0,15.0,15.0,100.0,100.0,15.0
2018-01-24,10.0,100.0,100.0,10.0,10.0,100.0,100.0,10.0
2018-01-25,5.0,100.0,100.0,5.0,5.0,100.0,100.0,5.0
2018-01-26,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-29,5.0,100.0,100.0,5.0,5.0,100.0,100.0,5.0
2018-01-30,0.0,95.0,95.0,0.0,0.0,95.0,95.0,0.0
2018-01-31,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-02-01,0.0,85.0,85.0,0.0,0.0,85.0,85.0,0.0
2018-02-02,0.0,80.0,80.0,0.0,0.0,80.0,80.0,0.0
2018-02-05,100.0,75.0,75.0,100.0,100.0,75.0,75.0,100.0
2018-02-06,100.0,70.0,70.0,100.0,100.0,70.0,70.0,100.0
2018-02-07,95.0,65.0,65.0,95.0,95.0,65.0,65.0,95.0
2018-02-08,100.0,60.0,60.0,100.0,100.0,60.0,60.0,100.0
2018-02-09,100.0,55.0,55.0,100.0,100.0,55.0,55.0,100.0
2018-02-12,95.0,50.0,50.0,95.0,95.0,50.0,50.0,95.0
2018-02-13,90.0,45.0,45.0,90.0,90.0,45.0,45.0,90.0
