date,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up
2018-01-02,60.0,0.0,0.0,60.0,60.0,0.0,0.0,60.0
2018-01-03,55.0,10.0,10.0,55.0,55.0,10.0,10.0,55.0
2018-01-04,100.0,5.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-01-05,95.0,0.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-01-08,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-09,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-10,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-11,100.0,10.0,10.0,100.0,100.0,10.0,10.0,100.0
2018-01-12,100.0,5.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-01-16,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-01-17,100.0,50.0,50.0,100.0,100.0,50.0,50.0,100.0
2018-01-18,100.0,45.0,45.0,100.0,100.0,45.0,45.0,100.0
2018-01-19,95.0,40.0,40.0,95.0,95.0,40.0,40.0,95.0
2018-01-22,100.0,35.0,35.0,100.0,100.0,35.0,35.0,100.0
2018-01-23,100.0,30.0,30.0,100.0,100.0,30.0,30.0,100.0
2018-01-24,100.0,25.0,25.0,100.0,100.0,25.0,25.0,100.0
2018-01-25,95.0,20.0,20.0,95.0,95.0,20.0,20.0,95.0
2018-01-26,100.0,15.0,15.0,100.0,100.0,15.0,15.0,100.0
2018-01-29,100.0,10.0,10.0,100.0,100.0,10.0,10.0,100.0
2018-01-30,95.0,5.0,5.0,95.0,95.0,5.0,5.0,95.0
2018-01-31,90.0,0.0,0.0,90.0,90.0,0.0,0.0,90.0
2018-02-01,85.0,0.0,0.0,85.0,85.0,0.0,0.0,85.0
2018-02-02,80.0,5.0,5.0,80.0,80.0,5.0,5.0,80.0
2018-02-05,75.0,100.0,100.0,75.0,75.0,100.0,100.0,75.0
2018-02-06,70.0,100.0,100.0,70.0,70.0,100.0,100.0,70.0
2018-02-07,65.0,95.0,95.0,65.0,65.0,95.0,95.0,65.0
2018-02-08,60.0,90.0,90.0,60.0,60.0,90.0,90.0,60.0
2018-02-09,55.0,100.0,100.0,55.0,55.0,100.0,100.0,55.0
2018-02-12,50.0,95.0,95.0,50.0,50.0,95.0,95.0,50.0
2018-02-13,45.0,90.0,90.0,45.0,45.0,90.0,90.0,45.0
2018-02-14,40.0,85.0,85.0,40.0,40.0,85.0,85.0,40.0
2018-02-15,35.0,80.0,80.0,35.0,35.0,80.0,80.0,35.0
2018-02-16,30.0,75.0,75.0,30.0,30.0,75.0,75.0,30.0
2018-02-20,25.0,70.0,70.0,25.0,25.0,70.0,70.0,25.0
2018-02-21,20.0,65.0,65.0,20.0,20.0,65.0,65.0,20.0
2018-02-22,15.0,60.0,60.0,15.0,15.0,60.0,60.0,15.0
2018-02-23,10.0,55.0,55.0,10.0,10.0,55.0,55.0,10.0
2018-02-26,5.0,50.0,50.0,5.0,5.0,50.0,50.0,5.0
2018-02-27,0.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0
2018-02-28,10.0,40.0,40.0,10.0,10.0,40.0,40.0,10.0
2018-03-01,5.0,35.0,35.0,5.0,5.0,35.0,35.0,5.0
2018-03-02,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0
2018-03-05,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
2018-03-06,75.0,20.0,20.0,75.0,75.0,20.0,20.0,75.0
2018-03-07,70.0,15.0,15.0,70.0,70.0,15.0,15.0,70.0
2018-03-08,65.0,10.0,10.0,65.0,65.0,10.0,10.0,65.0
2018-03-09,100.0,5.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-03-12,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-03-13,95.0,5.0,5.0,95.0,95.0,5.0,5.0,95.0
2018-03-14,90.0,0.0,0.0,90.0,90.0,0.0,0.0,90.0
2018-03-15,85.0,0.0,0.0,85.0,85.0,0.0,0.0,85.0
2018-03-16,80.0,50.0,50.0,80.0,80.0,50.0,50.0,80.0
2018-03-19,75.0,45.0,45.0,75.0,75.0,45.0,45.0,75.0
2018-03-20,70.0,40.0,40.0,70.0,70.0,40.0,40.0,70.0
2018-03-21,65.0,35.0,35.0,65.0,65.0,35.0,35.0,65.0
2018-03-22,60.0,100.0,100.0,60.0,60.0,100.0,100.0,60.0
2018-03-23,55.0,100.0,100.0,55.0,55.0,100.0,100.0,55.0
2018-03-26,50.0,95.0,95.0,50.0,50.0,95.0,95.0,50.0
2018-03-27,45.0,90.0,90.0,45.0,45.0,90.0,90.0,45.0
2018-03-28,40.0,85.0,85.0,40.0,40.0,85.0,85.0,40.0
2018-03-29,35.0,80.0,80.0,35.0,35.0,80.0,80.0,35.0
2018-04-02,30.0,75.0,75.0,30.0,30.0,75.0,75.0,30.0
2018-04-03,25.0,70.0,70.0,25.0,25.0,70.0,70.0,25.0
2018-04-04,20.0,65.0,65.0,20.0,20.0,65.0,65.0,20.0
2018-04-05,15.0,60.0,60.0,15.0,15.0,60.0,60.0,15.0
2018-04-06,10.0,55.0,55.0,10.0,10.0,55.0,55.0,10.0
2018-04-09,5.0,50.0,50.0,5.0,5.0,50.0,50.0,5.0
2018-04-10,0.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0
2018-04-11,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0
2018-04-12,0.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0
2018-04-13,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0
2018-04-16,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
2018-04-17,10.0,20.0,20.0,10.0,10.0,20.0,20.0,10.0
2018-04-18,5.0,15.0,15.0,5.0,5.0,15.0,15.0,5.0
2018-04-19,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0
2018-04-20,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0
2018-04-23,40.0,0.0,0.0,40.0,40.0,0.0,0.0,40.0
2018-04-24,35.0,20.0,20.0,35.0,35.0,20.0,20.0,35.0
2018-04-25,30.0,15.0,15.0,30.0,30.0,15.0,15.0,30.0
2018-04-26,25.0,10.0,10.0,25.0,25.0,10.0,10.0,25.0
2018-04-27,20.0,5.0,5.0,20.0,20.0,5.0,5.0,20.0
2018-04-30,15.0,0.0,0.0,15.0,15.0,0.0,0.0,15.0
2018-05-01,10.0,100.0,100.0,10.0,10.0,100.0,100.0,10.0
2018-05-02,5.0,95.0,95.0,5.0,5.0,95.0,95.0,5.0
2018-05-03,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-05-04,45.0,95.0,95.0,45.0,45.0,95.0,95.0,45.0
2018-05-07,40.0,90.0,90.0,40.0,40.0,90.0,90.0,40.0
2018-05-08,35.0,85.0,85.0,35.0,35.0,85.0,85.0,35.0
2018-05-09,30.0,80.0,80.0,30.0,30.0,80.0,80.0,30.0
2018-05-10,25.0,75.0,75.0,25.0,25.0,75.0,75.0,25.0
2018-05-11,100.0,70.0,70.0,100.0,100.0,70.0,70.0,100.0
2018-05-14,95.0,65.0,65.0,95.0,95.0,65.0,65.0,95.0
2018-05-15,90.0,60.0,60.0,90.0,90.0,60.0,60.0,90.0
2018-05-16,85.0,55.0,55.0,85.0,85.0,55.0,55.0,85.0
2018-05-17,80.0,50.0,50.0,80.0,80.0,50.0,50.0,80.0
2018-05-18,75.0,45.0,45.0,75.0,75.0,45.0,45.0,75.0
2018-05-21,70.0,40.0,40.0,70.0,70.0,40.0,40.0,70.0
2018-05-22,65.0,35.0,35.0,65.0,65.0,35.0,35.0,65.0
2018-05-23,60.0,30.0,30.0,60.0,60.0,30.0,30.0,60.0
2018-05-24,55.0,25.0,25.0,55.0,55.0,25.0,25.0,55.0
2018-05-25,50.0,20.0,20.0,50.0,50.0,20.0,20.0,50.0
2018-05-29,45.0,100.0,100.0,45.0,45.0,100.0,100.0,45.0
2018-05-30,40.0,95.0,95.0,40.0,40.0,95.0,95.0,40.0
2018-05-31,35.0,90.0,90.0,35.0,35.0,90.0,90.0,35.0
2018-06-01,30.0,85.0,85.0,30.0,30.0,85.0,85.0,30.0
2018-06-04,25.0,80.0,80.0,25.0,25.0,80.0,80.0,25.0
2018-06-05,20.0,75.0,75.0,20.0,20.0,75.0,75.0,20.0
2018-06-06,15.0,70.0,70.0,15.0,15.0,70.0,70.0,15.0
2018-06-07,10.0,65.0,65.0,10.0,10.0,65.0,65.0,10.0
2018-06-08,5.0,60.0,60.0,5.0,5.0,60.0,60.0,5.0
2018-06-11,0.0,55.0,55.0,0.0,0.0,55.0,55.0,0.0
2018-06-12,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0
2018-06-13,0.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0
2018-06-14,20.0,40.0,40.0,20.0,20.0,40.0,40.0,20.0
2018-06-15,15.0,35.0,35.0,15.0,15.0,35.0,35.0,15.0
2018-06-18,10.0,30.0,30.0,10.0,10.0,30.0,30.0,10.0
2018-06-19,5.0,25.0,25.0,5.0,5.0,25.0,25.0,5.0
2018-06-20,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0
2018-06-21,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-06-22,55.0,95.0,95.0,55.0,55.0,95.0,95.0,55.0
2018-06-25,50.0,100.0,100.0,50.0,50.0,100.0,100.0,50.0
2018-06-26,45.0,95.0,95.0,45.0,45.0,95.0,95.0,45.0
2018-06-27,40.0,100.0,100.0,40.0,40.0,100.0,100.0,40.0
2018-06-28,35.0,95.0,95.0,35.0,35.0,95.0,95.0,35.0
2018-06-29,30.0,90.0,90.0,30.0,30.0,90.0,90.0,30.0
2018-07-02,25.0,85.0,85.0,25.0,25.0,85.0,85.0,25.0
2018-07-03,20.0,80.0,80.0,20.0,20.0,80.0,80.0,20.0
2018-07-05,15.0,75.0,75.0,15.0,15.0,75.0,75.0,15.0
2018-07-06,10.0,70.0,70.0,10.0,10.0,70.0,70.0,10.0
2018-07-09,5.0,65.0,65.0,5.0,5.0,65.0,65.0,5.0
2018-07-10,0.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0
2018-07-11,5.0,55.0,55.0,5.0,5.0,55.0,55.0,5.0
2018-07-12,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0
2018-07-13,0.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0
2018-07-16,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0
2018-07-17,95.0,35.0,35.0,95.0,95.0,35.0,35.0,95.0
2018-07-18,100.0,30.0,30.0,100.0,100.0,30.0,30.0,100.0
2018-07-19,95.0,25.0,25.0,95.0,95.0,25.0,25.0,95.0
2018-07-20,90.0,20.0,20.0,90.0,90.0,20.0,20.0,90.0
2018-07-23,85.0,15.0,15.0,85.0,85.0,15.0,15.0,85.0
2018-07-24,80.0,10.0,10.0,80.0,80.0,10.0,10.0,80.0
2018-07-25,75.0,5.0,5.0,75.0,75.0,5.0,5.0,75.0
2018-07-26,70.0,0.0,0.0,70.0,70.0,0.0,0.0,70.0
2018-07-27,65.0,0.0,0.0,65.0,65.0,0.0,0.0,65.0
2018-07-30,60.0,10.0,10.0,60.0,60.0,10.0,10.0,60.0
2018-07-31,55.0,5.0,5.0,55.0,55.0,5.0,5.0,55.0
2018-08-01,50.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0
2018-08-02,45.0,0.0,0.0,45.0,45.0,0.0,0.0,45.0
2018-08-03,40.0,0.0,0.0,40.0,40.0,0.0,0.0,40.0
2018-08-06,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-08-07,100.0,5.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-08-08,95.0,0.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-08-09,90.0,0.0,0.0,90.0,90.0,0.0,0.0,90.0
2018-08-10,85.0,0.0,0.0,85.0,85.0,0.0,0.0,85.0
2018-08-13,80.0,5.0,5.0,80.0,80.0,5.0,5.0,80.0
2018-08-14,75.0,0.0,0.0,75.0,75.0,0.0,0.0,75.0
2018-08-15,70.0,0.0,0.0,70.0,70.0,0.0,0.0,70.0
2018-08-16,65.0,10.0,10.0,65.0,65.0,10.0,10.0,65.0
2018-08-17,60.0,5.0,5.0,60.0,60.0,5.0,5.0,60.0
2018-08-20,55.0,0.0,0.0,55.0,55.0,0.0,0.0,55.0
2018-08-21,50.0,35.0,35.0,50.0,50.0,35.0,35.0,50.0
2018-08-22,45.0,30.0,30.0,45.0,45.0,30.0,30.0,45.0
2018-08-23,40.0,25.0,25.0,40.0,40.0,25.0,25.0,40.0
2018-08-24,35.0,20.0,20.0,35.0,35.0,20.0,20.0,35.0
2018-08-27,100.0,15.0,15.0,100.0,100.0,15.0,15.0,100.0
2018-08-28,100.0,10.0,10.0,100.0,100.0,10.0,10.0,100.0
2018-08-29,100.0,5.0,5.0,100.0,100.0,5.0,5.0,100.0
2018-08-30,95.0,0.0,0.0,95.0,95.0,0.0,0.0,95.0
2018-08-31,90.0,0.0,0.0,90.0,90.0,0.0,0.0,90.0
2018-09-04,85.0,35.0,35.0,85.0,85.0,35.0,35.0,85.0
2018-09-05,100.0,30.0,30.0,100.0,100.0,30.0,30.0,100.0
2018-09-06,100.0,25.0,25.0,100.0,100.0,25.0,25.0,100.0
