date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Down,Aroon Up
2018-01-02,75.0,0.0,75.0,0.0,75.0,0.0,0.0,75.0
2018-01-03,70.0,15.0,70.0,15.0,70.0,15.0,15.0,70.0
2018-01-04,100.0,10.0,100.0,10.0,100.0,10.0,10.0,100.0
2018-01-05,95.0,5.0,95.0,5.0,95.0,5.0,5.0,95.0
2018-01-08,90.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0
2018-01-09,100.0,20.0,100.0,20.0,100.0,20.0,20.0,100.0
2018-01-10,100.0,15.0,100.0,15.0,100.0,15.0,15.0,100.0
2018-01-11,95.0,10.0,95.0,10.0,95.0,10.0,10.0,95.0
2018-01-12,100.0,5.0,100.0,5.0,100.0,5.0,5.0,100.0
2018-01-16,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0
2018-01-17,95.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0
2018-01-18,90.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0
2018-01-19,85.0,0.0,85.0,0.0,85.0,0.0,0.0,85.0
2018-01-22,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0
2018-01-23,100.0,25.0,100.0,25.0,100.0,25.0,25.0,100.0
2018-01-24,100.0,20.0,100.0,20.0,100.0,20.0,20.0,100.0
2018-01-25,100.0,15.0,100.0,15.0,100.0,15.0,15.0,100.0
2018-01-26,95.0,10.0,95.0,10.0,95.0,10.0,10.0,95.0
2018-01-29,100.0,5.0,100.0,5.0,100.0,5.0,5.0,100.0
2018-01-30,95.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0
2018-01-31,90.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0
2018-02-01,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0
2018-02-02,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0
2018-02-05,95.0,100.0,95.0,100.0,95.0,100.0,100.0,95.0
2018-02-06,90.0,95.0,90.0,95.0,90.0,95.0,95.0,90.0
2018-02-07,85.0,90.0,85.0,90.0,85.0,90.0,90.0,85.0
2018-02-08,80.0,85.0,80.0,85.0,80.0,85.0,85.0,80.0
2018-02-09,75.0,100.0,75.0,100.0,75.0,100.0,100.0,75.0
2018-02-12,70.0,95.0,70.0,95.0,70.0,95.0,95.0,70.0
2018-02-13,65.0,90.0,65.0,90.0,65.0,90.0,90.0,65.0
2018-02-14,60.0,85.0,60.0,85.0,60.0,85.0,85.0,60.0
2018-02-15,55.0,80.0,55.0,80.0,55.0,80.0,80.0,55.0
2018-02-16,50.0,75.0,50.0,75.0,50.0,75.0,75.0,50.0
2018-02-20,45.0,70.0,45.0,70.0,45.0,70.0,70.0,45.0
2018-02-21,40.0,65.0,40.0,65.0,40.0,65.0,65.0,40.0
2018-02-22,35.0,60.0,35.0,60.0,35.0,60.0,60.0,35.0
2018-02-23,30.0,55.0,30.0,55.0,30.0,55.0,55.0,30.0
2018-02-26,25.0,50.0,25.0,50.0,25.0,50.0,50.0,25.0
2018-02-27,100.0,45.0,100.0,45.0,100.0,45.0,45.0,100.0
2018-02-28,95.0,40.0,95.0,40.0,95.0,40.0,40.0,95.0
2018-03-01,90.0,35.0,90.0,35.0,90.0,35.0,35.0,90.0
2018-03-02,85.0,30.0,85.0,30.0,85.0,30.0,30.0,85.0
2018-03-05,80.0,25.0,80.0,25.0,80.0,25.0,25.0,80.0
2018-03-06,75.0,20.0,75.0,20.0,75.0,20.0,20.0,75.0
2018-03-07,70.0,15.0,70.0,15.0,70.0,15.0,15.0,70.0
2018-03-08,65.0,10.0,65.0,10.0,65.0,10.0,10.0,65.0
2018-03-09,60.0,5.0,60.0,5.0,60.0,5.0,5.0,60.0
2018-03-12,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0
2018-03-13,95.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0
2018-03-14,90.0,60.0,90.0,60.0,90.0,60.0,60.0,90.0
2018-03-15,85.0,55.0,85.0,55.0,85.0,55.0,55.0,85.0
2018-03-16,80.0,50.0,80.0,50.0,80.0,50.0,50.0,80.0
2018-03-19,75.0,45.0,75.0,45.0,75.0,45.0,45.0,75.0
2018-03-20,70.0,40.0,70.0,40.0,70.0,40.0,40.0,70.0
2018-03-21,65.0,35.0,65.0,35.0,65.0,35.0,35.0,65.0
2018-03-22,60.0,100.0,60.0,100.0,60.0,100.0,100.0,60.0
2018-03-23,55.0,100.0,55.0,100.0,55.0,100.0,100.0,55.0
2018-03-26,50.0,95.0,50.0,95.0,50.0,95.0,95.0,50.0
2018-03-27,45.0,90.0,45.0,90.0,45.0,90.0,90.0,45.0
2018-03-28,40.0,100.0,40.0,100.0,40.0,100.0,100.0,40.0
2018-03-29,35.0,95.0,35.0,95.0,35.0,95.0,95.0,35.0
2018-04-02,30.0,100.0,30.0,100.0,30.0,100.0,100.0,30.0
2018-04-03,25.0,95.0,25.0,95.0,25.0,95.0,95.0,25.0
2018-04-04,20.0,90.0,20.0,90.0,20.0,90.0,90.0,20.0
2018-04-05,15.0,85.0,15.0,85.0,15.0,85.0,85.0,15.0
2018-04-06,10.0,80.0,10.0,80.0,10.0,80.0,80.0,10.0
2018-04-09,5.0,75.0,5.0,75.0,5.0,75.0,75.0,5.0
2018-04-10,0.0,70.0,0.0,70.0,0.0,70.0,70.0,0.0
2018-04-11,0.0,65.0,0.0,65.0,0.0,65.0,65.0,0.0
2018-04-12,10.0,60.0,10.0,60.0,10.0,60.0,60.0,10.0
2018-04-13,5.0,55.0,5.0,55.0,5.0,55.0,55.0,5.0
2018-04-16,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0
2018-04-17,10.0,45.0,10.0,45.0,10.0,45.0,45.0,10.0
2018-04-18,5.0,40.0,5.0,40.0,5.0,40.0,40.0,5.0
2018-04-19,0.0,35.0,0.0,35.0,0.0,35.0,35.0,0.0
2018-04-20,0.0,30.0,0.0,30.0,0.0,30.0,30.0,0.0
2018-04-23,70.0,25.0,70.0,25.0,70.0,25.0,25.0,70.0
2018-04-24,65.0,20.0,65.0,20.0,65.0,20.0,20.0,65.0
2018-04-25,60.0,15.0,60.0,15.0,60.0,15.0,15.0,60.0
2018-04-26,55.0,10.0,55.0,10.0,55.0,10.0,10.0,55.0
2018-04-27,50.0,5.0,50.0,5.0,50.0,5.0,5.0,50.0
2018-04-30,45.0,0.0,45.0,0.0,45.0,0.0,0.0,45.0
2018-05-01,40.0,5.0,40.0,5.0,40.0,5.0,5.0,40.0
2018-05-02,35.0,0.0,35.0,0.0,35.0,0.0,0.0,35.0
