date,4. close
2018-05-15,72.68
2018-05-16,71.95
2018-05-17,71.56
2018-05-18,69.96
2018-05-21,70.43
2018-05-22,71.08
2018-05-23,70.24
2018-05-24,69.31
2018-05-25,68.44
2018-05-29,65.71
2018-05-30,66.68
2018-05-31,66.69
2018-06-01,67.28
2018-06-04,67.34
2018-06-05,66.76
2018-06-06,68.23
2018-06-07,68.45
2018-06-08,68.47
2018-06-11,68.11
2018-06-12,67.61
2018-06-13,67.29
2018-06-14,66.16
2018-06-15,66.34
2018-06-18,66.75
2018-06-19,66.78
2018-06-20,67.38
2018-06-21,67.63
2018-06-22,67.2
2018-06-25,65.75
2018-06-26,66.31
2018-06-27,65.46
2018-06-28,66.88
2018-06-29,66.92
2018-07-02,67.16
2018-07-03,66.06
2018-07-05,66.56
2018-07-06,67.14
2018-07-09,68.94
2018-07-10,68.23
2018-07-11,67.91
2018-07-12,68.51
2018-07-13,67.0
2018-07-16,69.46
2018-07-17,69.35
2018-07-18,69.85
2018-07-19,68.99
2018-07-20,69.22
2018-07-23,70.21
2018-07-24,71.07
2018-07-25,71.72
2018-07-26,71.34
2018-07-27,71.69
2018-07-30,72.29
2018-07-31,71.89
2018-08-01,71.93
2018-08-02,71.84
2018-08-03,72.39
2018-08-06,72.4
2018-08-07,72.41
2018-08-08,72.89
2018-08-09,71.98
2018-08-10,70.26
2018-08-13,69.16
2018-08-14,70.01
2018-08-15,68.65
2018-08-16,69.56
2018-08-17,69.67
2018-08-20,70.53
2018-08-21,71.24
2018-08-22,71.12
2018-08-23,70.81
2018-08-24,70.67
2018-08-27,72.39
2018-08-28,72.38
2018-08-29,72.53
2018-08-30,71.46
2018-08-31,71.24
2018-09-04,71.4
2018-09-05,71.17
2018-09-06,70.11
2018-09-07,69.64
2018-09-10,69.63
2018-09-11,69.43
2018-09-12,70.51
2018-09-13,70.15
2018-09-14,70.54
2018-09-17,70.88
2018-09-18,71.36
2018-09-19,73.72
2018-09-20,74.79
2018-09-21,74.15
2018-09-24,73.84
2018-09-25,73.51
2018-09-26,72.45
2018-09-27,72.95
2018-09-28,71.74
2018-10-01,71.93
2018-10-02,71.8
2018-10-03,72.36
2018-10-04,72.62
2018-10-05,72.42
2018-10-08,72.59
2018-10-09,71.89
2018-10-10,69.95
2018-10-11,68.38
2018-10-12,69.84
2018-10-15,69.21
2018-10-16,69.71
2018-10-17,69.84
2018-10-18,68.62
2018-10-19,68.86
2018-10-22,66.59
2018-10-23,65.73
2018-10-24,63.8
2018-10-25,64.97
2018-10-26,64.21
2018-10-29,64.35
2018-10-30,64.53
2018-10-31,65.46
2018-11-01,65.83
2018-11-02,65.92
2018-11-05,67.3
2018-11-06,66.68
2018-11-07,68.26
2018-11-08,67.78
2018-11-09,65.76
2018-11-12,64.21
2018-11-13,64.78
2018-11-14,63.5
2018-11-15,64.6
2018-11-16,64.95
2018-11-19,64.62
2018-11-20,62.53
2018-11-21,62.87
2018-11-23,61.75
2018-11-26,63.73
2018-11-27,63.46
2018-11-28,65.58
2018-11-29,64.9
2018-11-30,64.79
2018-12-03,65.16
2018-12-04,62.26
2018-12-06,60.06
2018-12-07,58.35
2018-12-10,57.07
2018-12-11,56.22
2018-12-12,55.98
2018-12-13,55.77
2018-12-14,55.02
2018-12-17,54.25
2018-12-18,53.93
2018-12-19,52.82
2018-12-20,52.27
2018-12-21,50.24
2018-12-24,49.26
2018-12-26,51.44
2018-12-27,51.77
2018-12-28,51.83
2018-12-31,52.06
2019-01-02,53.53
2019-01-03,52.56
2019-01-04,55.13
2019-01-07,55.61
2019-01-08,55.46
2019-01-09,56.38
2019-01-10,56.44
2019-01-11,56.69
2019-01-14,58.93
2019-01-15,61.38
2019-01-16,62.19
2019-01-17,62.47
2019-01-18,63.12
2019-01-22,61.85
2019-01-23,62.13
2019-01-24,62.71
2019-01-25,64.02
2019-01-28,63.85
2019-01-29,63.21
2019-01-30,64.22
2019-01-31,64.46
2019-02-01,63.67
2019-02-04,64.06
2019-02-05,63.81
2019-02-06,63.89
2019-02-07,62.81
2019-02-08,62.01
2019-02-11,61.61
2019-02-12,62.67
2019-02-13,63.04
2019-02-14,62.42
2019-02-15,64.27
2019-02-19,64.38
2019-02-20,64.64
2019-02-21,64.32
2019-02-22,64.14
2019-02-25,64.53
2019-02-26,64.12
2019-02-27,64.4
2019-02-28,63.98
2019-03-01,64.47
2019-03-04,63.75
2019-03-05,62.93
2019-03-06,62.51
2019-03-07,61.9
2019-03-08,62.06
2019-03-11,62.31
2019-03-12,62.81
2019-03-13,63.65
2019-03-14,64.11
2019-03-15,65.19
2019-03-18,65.93
2019-03-19,65.63
2019-03-20,64.3
2019-03-21,63.91
2019-03-22,60.98
2019-03-25,60.33
2019-03-26,61.22
2019-03-27,60.73
2019-03-28,61.98
2019-03-29,62.22
2019-04-01,64.36
