date,Aroon Up,Aroon Down
2010-11-04,27.5,90.0
2010-11-05,25.0,87.5
2010-11-08,22.5,85.0
2010-11-09,20.0,82.5
2010-11-10,17.5,80.0
2010-11-11,15.0,77.5
2010-11-12,12.5,75.0
2010-11-15,10.0,72.5
2010-11-16,7.5,70.0
2010-11-17,5.0,67.5
2010-11-18,2.5,65.0
2010-11-19,0.0,62.5
2010-11-22,32.5,60.0
2010-11-23,30.0,57.5
2010-11-24,27.5,55.0
2010-11-26,25.0,52.5
2010-11-29,22.5,50.0
2010-11-30,20.0,47.5
2010-12-01,17.5,45.0
2010-12-02,15.0,42.5
2010-12-03,12.5,40.0
2010-12-06,10.0,37.5
2010-12-07,7.5,35.0
2010-12-08,5.0,32.5
2010-12-09,2.5,30.0
2010-12-10,0.0,27.5
2010-12-13,0.0,25.0
2010-12-14,12.5,22.5
2010-12-15,10.0,20.0
2010-12-16,7.5,17.5
2010-12-17,5.0,15.0
2010-12-20,2.5,12.5
2010-12-21,0.0,10.0
2010-12-22,20.0,7.5
2010-12-23,17.5,5.0
2010-12-27,15.0,2.5
2010-12-28,12.5,0.0
2010-12-29,10.0,47.5
2010-12-30,7.5,45.0
2010-12-31,5.0,42.5
2011-01-03,2.5,40.0
2011-01-04,0.0,37.5
2011-01-05,0.0,35.0
2011-01-06,0.0,32.5
2011-01-07,0.0,30.0
2011-01-10,32.5,27.5
2011-01-11,30.0,25.0
2011-01-12,27.5,22.5
2011-01-13,25.0,20.0
2011-01-14,22.5,17.5
2011-01-18,100.0,15.0
2011-01-19,97.5,12.5
2011-01-20,95.0,10.0
2011-01-21,92.5,7.5
2011-01-24,100.0,5.0
2011-01-25,97.5,2.5
2011-01-26,100.0,0.0
2011-01-27,97.5,0.0
2011-01-28,95.0,67.5
2011-01-31,92.5,65.0
2011-02-01,100.0,62.5
2011-02-02,100.0,60.0
2011-02-03,97.5,57.5
2011-02-04,95.0,55.0
2011-02-07,100.0,52.5
2011-02-08,100.0,50.0
2011-02-09,97.5,47.5
2011-02-10,95.0,45.0
2011-02-11,100.0,42.5
2011-02-14,100.0,40.0
2011-02-15,97.5,37.5
2011-02-16,95.0,35.0
2011-02-17,92.5,32.5
2011-02-18,90.0,30.0
2011-02-22,87.5,27.5
2011-02-23,85.0,25.0
2011-02-24,82.5,22.5
2011-02-25,80.0,20.0
2011-02-28,100.0,17.5
2011-03-01,97.5,15.0
2011-03-02,95.0,12.5
2011-03-03,92.5,10.0
2011-03-04,90.0,7.5
2011-03-07,87.5,5.0
2011-03-08,85.0,2.5
2011-03-09,82.5,0.0
2011-03-10,80.0,0.0
2011-03-11,77.5,0.0
2011-03-14,75.0,12.5
2011-03-15,72.5,10.0
2011-03-16,70.0,7.5
2011-03-17,67.5,5.0
2011-03-18,65.0,2.5
2011-03-21,62.5,0.0
2011-03-22,60.0,90.0
2011-03-23,57.5,87.5
2011-03-24,55.0,85.0
2011-03-25,52.5,82.5
2011-03-28,50.0,80.0
2011-03-29,47.5,77.5
2011-03-30,45.0,75.0
2011-03-31,42.5,72.5
2011-04-01,40.0,70.0
2011-04-04,37.5,67.5
2011-04-05,35.0,65.0
2011-04-06,32.5,62.5
2011-04-07,30.0,60.0
2011-04-08,27.5,57.5
2011-04-11,25.0,55.0
2011-04-12,22.5,52.5
2011-04-13,20.0,100.0
2011-04-14,17.5,100.0
2011-04-15,15.0,97.5
2011-04-18,12.5,100.0
2011-04-19,10.0,97.5
2011-04-20,7.5,95.0
2011-04-21,5.0,92.5
2011-04-25,2.5,90.0
2011-04-26,0.0,87.5
2011-04-27,0.0,85.0
2011-04-28,2.5,82.5
2011-04-29,0.0,80.0
2011-05-02,0.0,77.5
2011-05-03,2.5,75.0
2011-05-04,0.0,72.5
2011-05-05,0.0,100.0
2011-05-06,0.0,97.5
2011-05-09,0.0,95.0
2011-05-10,30.0,92.5
2011-05-11,27.5,90.0
2011-05-12,25.0,87.5
2011-05-13,22.5,85.0
2011-05-16,20.0,100.0
2011-05-17,17.5,100.0
2011-05-18,15.0,97.5
2011-05-19,12.5,95.0
2011-05-20,10.0,92.5
2011-05-23,7.5,100.0
2011-05-24,5.0,100.0
2011-05-25,2.5,100.0
2011-05-26,0.0,97.5
2011-05-27,0.0,95.0
2011-05-31,0.0,92.5
2011-06-01,0.0,100.0
2011-06-02,42.5,100.0
2011-06-03,40.0,100.0
2011-06-06,37.5,100.0
2011-06-07,35.0,100.0
2011-06-08,32.5,100.0
2011-06-09,30.0,97.5
2011-06-10,27.5,100.0
2011-06-13,25.0,100.0
2011-06-14,22.5,97.5
2011-06-15,20.0,100.0
2011-06-16,17.5,97.5
2011-06-17,15.0,95.0
2011-06-20,12.5,92.5
2011-06-21,10.0,90.0
2011-06-22,7.5,87.5
2011-06-23,5.0,85.0
2011-06-24,2.5,82.5
2011-06-27,0.0,80.0
2011-06-28,5.0,77.5
2011-06-29,2.5,75.0
2011-06-30,0.0,72.5
2011-07-01,2.5,70.0
2011-07-05,0.0,67.5
2011-07-06,0.0,65.0
2011-07-07,0.0,62.5
2011-07-08,0.0,60.0
2011-07-11,2.5,57.5
2011-07-12,0.0,55.0
2011-07-13,0.0,52.5
2011-07-14,5.0,50.0
2011-07-15,2.5,47.5
2011-07-18,0.0,45.0
2011-07-19,0.0,42.5
2011-07-20,12.5,40.0
2011-07-21,10.0,37.5
2011-07-22,7.5,35.0
2011-07-25,5.0,32.5
2011-07-26,2.5,30.0
2011-07-27,0.0,27.5
2011-07-28,0.0,25.0
2011-07-29,52.5,22.5
2011-08-01,50.0,20.0
2011-08-02,47.5,17.5
2011-08-03,45.0,100.0
2011-08-04,42.5,100.0
2011-08-05,40.0,100.0
2011-08-08,37.5,100.0
2011-08-09,35.0,97.5
2011-08-10,32.5,95.0
2011-08-11,30.0,92.5
2011-08-12,27.5,90.0
2011-08-15,25.0,87.5
2011-08-16,22.5,85.0
2011-08-17,20.0,82.5
2011-08-18,17.5,80.0
2011-08-19,15.0,77.5
2011-08-22,12.5,75.0
2011-08-23,10.0,72.5
2011-08-24,7.5,70.0
2011-08-25,5.0,67.5
2011-08-26,2.5,65.0
2011-08-29,0.0,62.5
2011-08-30,0.0,60.0
2011-08-31,2.5,57.5
2011-09-01,0.0,55.0
2011-09-02,22.5,52.5
2011-09-06,20.0,50.0
2011-09-07,17.5,47.5
2011-09-08,15.0,45.0
2011-09-09,12.5,42.5
2011-09-12,10.0,40.0
2011-09-13,7.5,37.5
2011-09-14,5.0,35.0
2011-09-15,2.5,32.5
2011-09-16,0.0,30.0
2011-09-19,0.0,27.5
2011-09-20,0.0,25.0
2011-09-21,0.0,22.5
2011-09-22,7.5,100.0
2011-09-23,5.0,97.5
2011-09-26,2.5,95.0
2011-09-27,0.0,92.5
2011-09-28,0.0,90.0
2011-09-29,95.0,87.5
2011-09-30,92.5,85.0
2011-10-03,90.0,82.5
2011-10-04,87.5,80.0
2011-10-05,85.0,77.5
2011-10-06,82.5,75.0
2011-10-07,80.0,72.5
2011-10-10,100.0,70.0
2011-10-11,97.5,67.5
2011-10-12,100.0,65.0
2011-10-13,97.5,62.5
2011-10-14,95.0,60.0
2011-10-17,92.5,57.5
2011-10-18,100.0,55.0
2011-10-19,100.0,52.5
2011-10-20,100.0,50.0
2011-10-21,100.0,47.5
2011-10-24,100.0,45.0
2011-10-25,97.5,42.5
2011-10-26,100.0,40.0
2011-10-27,100.0,37.5
2011-10-28,97.5,35.0
2011-10-31,95.0,32.5
2011-11-01,92.5,30.0
2011-11-02,90.0,27.5
2011-11-03,87.5,25.0
2011-11-04,85.0,22.5
2011-11-07,82.5,20.0
2011-11-08,80.0,17.5
2011-11-09,77.5,15.0
2011-11-10,75.0,12.5
2011-11-11,72.5,10.0
2011-11-14,70.0,7.5
2011-11-15,67.5,5.0
2011-11-16,65.0,2.5
2011-11-17,62.5,0.0
2011-11-18,60.0,0.0
2011-11-21,57.5,0.0
2011-11-22,55.0,12.5
2011-11-23,52.5,10.0
2011-11-25,50.0,7.5
2011-11-28,47.5,5.0
2011-11-29,45.0,2.5
2011-11-30,42.5,0.0
2011-12-01,40.0,0.0
2011-12-02,37.5,2.5
2011-12-05,35.0,0.0
2011-12-06,32.5,12.5
2011-12-07,30.0,10.0
2011-12-08,27.5,7.5
2011-12-09,25.0,5.0
2011-12-12,22.5,2.5
2011-12-13,20.0,0.0
2011-12-14,17.5,67.5
2011-12-15,15.0,65.0
2011-12-16,12.5,62.5
2011-12-19,10.0,60.0
2011-12-20,7.5,57.5
2011-12-21,5.0,55.0
2011-12-22,2.5,52.5
2011-12-23,0.0,50.0
2011-12-27,0.0,47.5
2011-12-28,0.0,45.0
2011-12-29,50.0,42.5
2011-12-30,47.5,40.0
2012-01-03,45.0,37.5
2012-01-04,42.5,35.0
2012-01-05,40.0,32.5
2012-01-06,37.5,30.0
2012-01-09,35.0,27.5
2012-01-10,32.5,25.0
2012-01-11,30.0,22.5
2012-01-12,27.5,20.0
2012-01-13,25.0,17.5
2012-01-17,22.5,15.0
2012-01-18,20.0,12.5
2012-01-19,100.0,10.0
2012-01-20,100.0,7.5
2012-01-23,97.5,5.0
2012-01-24,95.0,2.5
2012-01-25,100.0,0.0
2012-01-26,100.0,37.5
2012-01-27,97.5,35.0
2012-01-30,95.0,32.5
2012-01-31,92.5,30.0
2012-02-01,90.0,27.5
2012-02-02,87.5,25.0
2012-02-03,85.0,22.5
2012-02-06,82.5,20.0
2012-02-07,80.0,17.5
2012-02-08,77.5,15.0
2012-02-09,75.0,12.5
2012-02-10,72.5,10.0
2012-02-13,70.0,7.5
2012-02-14,67.5,5.0
2012-02-15,65.0,2.5
2012-02-16,62.5,0.0
2012-02-17,60.0,0.0
2012-02-21,57.5,0.0
2012-02-22,55.0,0.0
2012-02-23,52.5,17.5
2012-02-24,100.0,15.0
2012-02-27,100.0,12.5
2012-02-28,100.0,10.0
2012-02-29,97.5,7.5
2012-03-01,95.0,5.0
2012-03-02,92.5,2.5
2012-03-05,90.0,0.0
2012-03-06,87.5,2.5
2012-03-07,85.0,0.0
2012-03-08,82.5,0.0
2012-03-09,80.0,0.0
2012-03-12,77.5,2.5
2012-03-13,100.0,0.0
2012-03-14,100.0,0.0
2012-03-15,100.0,0.0
2012-03-16,100.0,47.5
2012-03-19,100.0,45.0
2012-03-20,97.5,42.5
2012-03-21,95.0,40.0
2012-03-22,92.5,37.5
2012-03-23,90.0,35.0
2012-03-26,100.0,32.5
2012-03-27,100.0,30.0
2012-03-28,97.5,27.5
2012-03-29,95.0,25.0
2012-03-30,92.5,22.5
2012-04-02,90.0,20.0
2012-04-03,87.5,17.5
2012-04-04,85.0,15.0
2012-04-05,82.5,12.5
2012-04-09,80.0,10.0
2012-04-10,77.5,7.5
2012-04-11,75.0,5.0
2012-04-12,72.5,2.5
2012-04-13,70.0,0.0
2012-04-16,67.5,0.0
2012-04-17,65.0,22.5
2012-04-18,62.5,20.0
2012-04-19,60.0,17.5
2012-04-20,57.5,15.0
2012-04-23,55.0,12.5
2012-04-24,52.5,10.0
2012-04-25,50.0,7.5
2012-04-26,47.5,5.0
2012-04-27,45.0,2.5
2012-04-30,42.5,0.0
2012-05-01,40.0,85.0
2012-05-02,37.5,82.5
2012-05-03,35.0,80.0
2012-05-04,32.5,77.5
2012-05-07,100.0,75.0
2012-05-08,97.5,72.5
2012-05-09,95.0,70.0
2012-05-10,92.5,67.5
2012-05-11,90.0,65.0
2012-05-14,87.5,62.5
2012-05-15,85.0,60.0
2012-05-16,82.5,57.5
2012-05-17,80.0,55.0
2012-05-18,77.5,52.5
2012-05-21,75.0,50.0
2012-05-22,72.5,47.5
2012-05-23,70.0,45.0
2012-05-24,67.5,42.5
2012-05-25,65.0,40.0
2012-05-29,62.5,37.5
2012-05-30,60.0,35.0
2012-05-31,57.5,32.5
2012-06-01,55.0,30.0
2012-06-04,52.5,27.5
2012-06-05,50.0,25.0
2012-06-06,47.5,22.5
2012-06-07,45.0,20.0
2012-06-08,42.5,17.5
2012-06-11,40.0,15.0
2012-06-12,37.5,12.5
2012-06-13,35.0,10.0
2012-06-14,32.5,7.5
2012-06-15,30.0,5.0
2012-06-18,27.5,2.5
2012-06-19,100.0,0.0
2012-06-20,97.5,65.0
2012-06-21,95.0,62.5
2012-06-22,92.5,60.0
2012-06-25,90.0,57.5
2012-06-26,87.5,55.0
2012-06-27,85.0,52.5
2012-06-28,82.5,50.0
2012-06-29,100.0,47.5
2012-07-02,100.0,45.0
2012-07-03,100.0,42.5
2012-07-05,97.5,40.0
2012-07-06,95.0,37.5
2012-07-09,92.5,35.0
2012-07-10,90.0,32.5
2012-07-11,100.0,30.0
2012-07-12,97.5,27.5
2012-07-13,100.0,25.0
2012-07-16,100.0,22.5
2012-07-17,100.0,20.0
2012-07-18,100.0,17.5
2012-07-19,97.5,15.0
2012-07-20,95.0,12.5
2012-07-23,92.5,10.0
2012-07-24,90.0,7.5
2012-07-25,87.5,5.0
2012-07-26,85.0,2.5
2012-07-27,100.0,0.0
2012-07-30,100.0,0.0
2012-07-31,97.5,0.0
2012-08-01,95.0,0.0
2012-08-02,92.5,0.0
2012-08-03,100.0,7.5
2012-08-06,100.0,5.0
2012-08-07,97.5,2.5
2012-08-08,95.0,0.0
2012-08-09,92.5,0.0
2012-08-10,90.0,17.5
2012-08-13,87.5,15.0
2012-08-14,85.0,12.5
2012-08-15,82.5,10.0
2012-08-16,80.0,7.5
2012-08-17,77.5,5.0
2012-08-20,75.0,2.5
2012-08-21,72.5,0.0
2012-08-22,70.0,0.0
2012-08-23,67.5,2.5
2012-08-24,65.0,0.0
2012-08-27,62.5,55.0
2012-08-28,60.0,52.5
2012-08-29,57.5,50.0
2012-08-30,55.0,47.5
2012-08-31,52.5,45.0
2012-09-04,50.0,42.5
2012-09-05,47.5,40.0
2012-09-06,100.0,37.5
2012-09-07,100.0,35.0
2012-09-10,100.0,32.5
2012-09-11,97.5,30.0
2012-09-12,95.0,27.5
2012-09-13,100.0,25.0
2012-09-14,100.0,22.5
2012-09-17,97.5,20.0
2012-09-18,95.0,17.5
2012-09-19,100.0,15.0
2012-09-20,100.0,12.5
2012-09-21,100.0,10.0
2012-09-24,97.5,7.5
2012-09-25,95.0,5.0
2012-09-26,92.5,2.5
2012-09-27,90.0,0.0
2012-09-28,87.5,0.0
2012-10-01,85.0,50.0
2012-10-02,82.5,47.5
2012-10-03,80.0,45.0
2012-10-04,100.0,42.5
2012-10-05,100.0,40.0
2012-10-08,97.5,37.5
2012-10-09,95.0,35.0
2012-10-10,92.5,32.5
2012-10-11,90.0,30.0
2012-10-12,87.5,27.5
2012-10-15,85.0,25.0
2012-10-16,82.5,22.5
2012-10-17,80.0,20.0
2012-10-18,100.0,17.5
2012-10-19,97.5,15.0
2012-10-22,95.0,12.5
2012-10-23,92.5,10.0
2012-10-24,90.0,7.5
2012-10-25,87.5,5.0
2012-10-26,85.0,2.5
2012-10-31,82.5,0.0
2012-11-01,80.0,0.0
2012-11-02,77.5,0.0
2012-11-05,75.0,10.0
2012-11-06,72.5,7.5
2012-11-07,70.0,5.0
2012-11-08,67.5,100.0
2012-11-09,65.0,100.0
2012-11-12,62.5,97.5
2012-11-13,60.0,95.0
2012-11-14,57.5,92.5
2012-11-15,55.0,90.0
2012-11-16,52.5,87.5
2012-11-19,50.0,85.0
2012-11-20,47.5,82.5
2012-11-21,45.0,80.0
2012-11-23,42.5,77.5
2012-11-26,40.0,75.0
2012-11-27,37.5,72.5
2012-11-28,35.0,70.0
2012-11-29,32.5,67.5
2012-11-30,30.0,65.0
2012-12-03,27.5,62.5
2012-12-04,25.0,60.0
2012-12-05,22.5,57.5
2012-12-06,20.0,55.0
2012-12-07,17.5,52.5
2012-12-10,15.0,50.0
2012-12-11,12.5,47.5
2012-12-12,10.0,45.0
2012-12-13,7.5,42.5
2012-12-14,5.0,40.0
2012-12-17,2.5,37.5
2012-12-18,0.0,35.0
2012-12-19,100.0,32.5
2012-12-20,100.0,30.0
2012-12-21,97.5,27.5
2012-12-24,95.0,25.0
2012-12-26,92.5,22.5
