date,4. close
2010-01-05,3327.0
2010-01-06,3310.0
2010-01-07,3323.0
2010-01-08,3322.0
2010-01-11,3325.0
2010-01-12,3300.0
2010-01-13,3300.0
2010-01-14,3298.0
2010-01-15,3247.0
2010-01-19,3332.0
2010-01-20,3476.0
2010-01-21,72.72
2010-01-22,70.1
2010-01-25,68.84
2010-01-26,68.0
2010-01-27,71.36
2010-01-28,73.75
2010-01-29,76.43
2010-02-01,75.41
2010-02-02,75.51
2010-02-03,74.36
2010-02-04,72.61
2010-02-05,73.57
2010-02-08,74.23
2010-02-09,74.53
2010-02-10,74.42
2010-02-11,76.69
2010-02-12,76.9
2010-02-16,76.05
2010-02-17,76.25
2010-02-18,76.64
2010-02-19,78.74
2010-02-22,79.56
2010-02-23,79.15
2010-02-24,79.68
2010-02-25,79.4
2010-02-26,80.13
2010-03-01,81.91
2010-03-02,80.77
2010-03-03,82.95
2010-03-04,82.68
2010-03-05,83.36
2010-03-08,82.79
2010-03-09,82.47
2010-03-10,82.07
2010-03-11,82.36
2010-03-12,82.24
2010-03-15,82.17
2010-03-16,82.3
2010-03-17,82.5
2010-03-18,82.35
2010-03-19,82.06
2010-03-22,82.37
2010-03-23,82.33
2010-03-24,81.44
2010-03-25,81.7
2010-03-26,81.3
2010-03-29,81.75
2010-03-30,81.6
2010-03-31,81.27
2010-04-01,81.65
2010-04-05,81.16
2010-04-06,80.91
2010-04-07,79.95
2010-04-08,79.68
2010-04-09,80.49
2010-04-12,80.48
2010-04-13,80.45
2010-04-14,80.89
2010-04-15,80.07
2010-04-16,78.72
2010-04-19,79.48
2010-04-20,80.01
2010-04-21,78.87
2010-04-22,78.68
2010-04-23,78.95
2010-04-26,79.24
2010-04-27,76.69
2010-04-28,77.17
2010-04-29,78.09
2010-04-30,77.0
2010-05-03,78.44
2010-05-04,76.61
2010-05-05,76.7
2010-05-06,74.59
2010-05-07,74.41
2010-05-10,78.23
2010-05-11,77.61
2010-05-12,78.0
2010-05-13,77.27
2010-05-14,76.23
2010-05-17,76.31
2010-05-18,75.47
2010-05-19,75.83
2010-05-20,72.28
2010-05-21,73.01
2010-05-24,70.78
2010-05-25,70.73
2010-05-26,70.32
2010-05-27,73.35
2010-05-28,70.55
2010-06-01,70.26
2010-06-02,72.25
2010-06-03,72.34
